scan_date|ticker|max_gap|prev_close
2026-06-08|ARTV|31.53|6.85
2026-06-08|OCC|82.93|12.3
2026-06-08|RELL|11.75|16.2
2026-06-08|SRI|12.83|7.09
2026-06-09|ADUR|21.53|14.4
2026-06-09|AMPG|15.22|6.57
2026-06-09|ARQQ|11.62|12.82
2026-06-09|DTIL|12.41|6.77
2026-06-09|PANL|10.65|7.23
2026-06-10|SUJA|14.53|15.55
2026-06-11|KZIA|10.43|11.5
2026-06-11|PRTA|25.28|7.91
2026-06-12|ASYS|13.78|22.6
2026-06-12|EIKN|17.37|8.52
2026-06-12|TENX|11.37|10.73
2026-06-15|ARQQ|23.13|13.6
2026-06-15|LIXT|12.6|6.19
2026-06-15|QMCO|15.79|13.74
2026-06-16|LIXT|18.9|6.72
2026-06-16|OSS|14.19|17.23
2026-06-16|SHMD|13|6.23
2026-06-17|CLPT|42.28|13.34
2026-06-17|PDYN|10.13|5.97
2026-06-17|TRT|12.23|12.59
2026-06-17|WNC|16.92|9.28
2026-06-18|BIRD|18.76|5.48
2026-06-18|CODA|11.69|9.24
2026-06-18|TBCH|10.1|12.48
2026-06-22|RGNX|14.88|7.8
2026-06-22|SSTK|28.59|13.22
2026-06-23|ALLT|10.41|7.01
2026-06-23|ARQQ|14.75|21.42
2026-06-23|BLZE|33.62|8.12
2026-06-23|NUCL|12.15|10.7
2026-06-24|JACK|20.03|11.58
2026-06-25|BNED|15.38|11.18
2026-06-25|ECOR|16.91|7.57
2026-06-25|MEI|25.57|13.09
2026-06-25|WYY|87.29|17.62
2026-06-26|XNET|10.54|5.03
2026-06-29|UNCY|10.66|7.13
2026-06-30|DPRO|11.09|5.14
2026-06-30|JACK|14.1|16.6
2026-06-30|SILC|19.94|41.93
2026-07-01|RAAQ|13.29|10.8
2026-07-02|ARCT|14.3|6.89
2026-07-02|SILC|16.26|44.18
2026-07-02|TENX|15.5|13.29
2026-07-06|AGPU|11.58|7.08
2026-07-06|OFIX|10.31|9.94
2026-07-08|CV|10.05|5.67
2026-07-09|AP|18.55|7.17
2026-07-09|FBRX|22.3|20.58
2026-07-13|QTTB|84.39|11.21
2026-07-14|SNWV|13.23|11.26
2026-07-15|ELVA|71.88|7.89
2026-07-15|TRT|23|10.26
2026-07-16|EAF|15.04|6.85
2026-07-16|HELP|13.52|6.51
2026-07-16|OWLT|11.03|6.13
2026-07-16|PESI|10.11|14.83
2026-07-20|DUOT|13.29|8.21
2026-07-20|NUCL|11.41|5.61
2026-07-21|AGPU|10.22|8.71
2026-07-21|FWRD|19.75|13.2
2026-07-22|AGPU|20.97|9.54
2026-07-22|RFIL|19.38|13.72
2026-07-23|AGPU|11.11|7.11
2026-07-23|NVEC|41.52|86.68
2026-07-23|RELL|18.62|18.01
2026-07-24|AVBC|10.57|20.24
2026-07-27|AGPU|23.21|6.85
2026-07-27|BNAI|12.01|11.16
2026-07-27|IMMR|11.5|6.52
2026-07-27|JACK|12.71|14.55
2026-07-27|KZIA|10.2|12.26
2026-07-28|PMN|27.43|11.72
2026-07-29|ALMU|15.29|14.19
2026-07-29|CLW|14.82|17.51
2026-07-29|QUAD|12.25|8.41
2026-07-29|RCKY|17.83|42.73
2026-07-29|RNAC|11.11|7.65
2026-07-29|SILC|20.59|38.02
2026-07-30|CMCO|36.94|14.62
2026-07-30|QMCO|11.96|10.45
2026-07-30|SMTI|11.6|30.25
2026-07-31|AIBZ|10.93|6.68
2026-07-31|AMCX|11.95|9.71
2026-07-31|DUOT|14.25|8.14
2026-08-03|INTT|10.53|12.35
2026-08-04|INFU|11.39|9.22
2026-08-04|MRAM|18.96|15.45
2026-08-04|OCC|14.98|14.35
2026-08-05|AMWL|22.55|10.42
2026-08-05|GTE|64.34|6.83
2026-08-06|ASPN|30.14|5.01
2026-08-06|ATNI|19.2|24.01
2026-08-06|DCTH|15.6|12.63
2026-08-06|EOLS|10.19|6.18
2026-08-06|OPRT|16.34|6.06
2026-08-07|FNKO|30.3|5.28
2026-08-07|FRD|29.9|37.72
2026-08-07|SENS|18.35|5.15
2026-08-07|SPT|24.66|8.19
2026-08-10|BWMN|55.93|27.23
2026-08-10|RNA|13.45|12.34
2026-08-11|FENC|12.7|10.94
2026-08-11|FF|30.43|5.16
2026-08-11|QMCO|38.12|11.78
2026-08-12|AII|21.3|20.19
2026-08-12|LENZ|24.18|5.21
2026-08-12|PESI|17.19|17.45
