Pager usage is off.
scan_date|ticker|max_gap|prev_close|rel_vol|proj_vol|pm_rvol|adv|prev_vol|today_vol|best_rank|mcap_m
2026-06-08|ARTV|31.53|6.85|0.03|||468618.675157|||3|333
2026-06-08|OCC|82.93|12.3|18.81|406.6||352195.743205|||1|109
2026-06-08|RELL|11.75|16.2|0.01|||281631.831658|||6|236
2026-06-08|SRI|12.83|7.09|0|0.3||205942.750684|||1|200
2026-06-09|ADUR|21.53|14.4|0.41|6.4|7.604|540291.873951|||4|486
2026-06-09|AMPG|15.22|6.57|0.28|5.5|5.136|6223117.9797115|||6|166
2026-06-09|ARQQ|11.62|12.82|0.11||2.661|585721.9692205|||9|223
2026-06-09|DTIL|12.41|6.77|0|||275187.2611515|||5|175
2026-06-09|PANL|10.65|7.23|0|||617704.919845|||8|473
2026-06-10|SUJA|14.53|15.55|0.02||16.233|296906.803514|||1|370
2026-06-11|KZIA|10.43|11.5|0.01|||213538.52807549998|||4|131
2026-06-11|PRTA|25.28|7.91|0|||592772.7218395|||1|414
2026-06-12|ASYS|13.78|22.6|0.13||16.632|378505.595144|||2|395
2026-06-12|EIKN|17.37|8.52|0|||376282.0672175|||2|461
2026-06-12|TENX|11.37|10.73|0.16|2.5|2.488|801942.772291|||5|318
2026-06-15|ARQQ|23.13|13.6|0.45|7|2.074|627299.5592685|||2|304
2026-06-15|LIXT|12.6|6.19|0|||174830.4049745|||5|108
2026-06-15|QMCO|15.79|13.74|0.3|5.8|1.56|1223769.690042|||10|223
2026-06-16|LIXT|18.9|6.72|0|||186632.079696|||2|117
2026-06-16|OSS|14.19|17.23|0.19|3|1.631|1705480.542436|||4|483
2026-06-16|SHMD|13|6.23|0.7|11.4|18.698|1247117.273665|||4|360
2026-06-17|CLPT|42.28|13.34|5.39|112.8|207.728|606820.9845085|||2|400
2026-06-17|PDYN|10.13|5.97|0.14||8.021|2020638.2751495|||6|282
2026-06-17|TRT|12.23|12.59|0.24|3.7|3.685|1013471.452727|||9|127
2026-06-17|WNC|16.92|9.28|0.13|2|1.886|809711.8105240001|||8|449
2026-06-18|BIRD|18.76|5.48|7.77|202||473388.95782899996|||3|48
2026-06-18|CODA|11.69|9.24|0.73|11.4||115733.108981|||7|114
2026-06-18|TBCH|10.1|12.48|0.13|2||378327.51627150003|||12|269
2026-06-22|RGNX|14.88|7.8|1.25|27.3|733.792|1741897.063484|||6|403
2026-06-22|SSTK|28.59|13.22|0.83|12.9|74.052|413895.59276200004|||2|486
2026-06-23|ALLT|10.41|7.01|0.04|||430582.04973900004|||1|343
2026-06-23|ARQQ|14.75|21.42|0.3|4.7|1.183|826592.387721|||2|452
2026-06-23|BLZE|33.62|8.12|6.65|104.9|441.426|1416584.9030485|||1|487
2026-06-23|NUCL|12.15|10.7|0.25|4.9||328444.19139349996|||4|349
2026-06-24|JACK|20.03|11.58|0.35|5.5|20.633|774783.2063015|||5|221
2026-06-25|BNED|15.38|11.18|0.27|4.2||273493.140301|||11|383
2026-06-25|ECOR|16.91|7.57|0.01|||135988.0267275|||4|63
2026-06-25|MEI|25.57|13.09|0.28|4.4|4.791|657739.4075219999|||3|464
2026-06-25|WYY|87.29|17.62|22.28|493.2||163397.09086499998|||1|174
2026-06-26|XNET|10.54|5.03|0.33|5.1||402274.900505|||5|351
2026-06-29|UNCY|10.66|7.13|0.12||30.616|1076519.7665875|||9|195
2026-06-30|DPRO|11.09|5.14|0.56|9.2|2.058|1722771.8089545001|||6|213
2026-06-30|JACK|14.1|16.6|0.24||102.061|774783.2063015|||4|317
2026-06-30|SILC|19.94|41.93|0.74|11.5|10.395|162032.035615|||4|277
2026-07-01|RAAQ|13.29|10.8|0.74|17.2||496208.5293755|||2|248
2026-07-02|ARCT|14.3|6.89|1.04|16.2||404855.277532|||2|229
2026-07-02|SILC|16.26|44.18|0.4|7.8|18.063|174795.548541|||1|254
2026-07-02|TENX|15.5|13.29|0.54|8.4|69.412|909995.8925595|||1|353
2026-07-06|AGPU|11.58|7.08|0.15|2.9||266695.165772|||5|84
2026-07-06|OFIX|10.31|9.94|0.28|4.4||461015.8333735|||13|469
2026-07-08|CV|10.05|5.67|0|0||150851.245267|||3|292
2026-07-09|AP|18.55|7.17|0.97|16.4||181561.57163050002|||2|146
2026-07-09|FBRX|22.3|20.58|1.15|22.4|40.984|354735.91428599996|||1|421
2026-07-13|QTTB|84.39|11.21|22.88|458.6|870.855|468831.9050405|||1|190
2026-07-14|SNWV|13.23|11.26|0.05|1.3||142495.428398|||5|97
2026-07-15|ELVA|71.88|7.89|32.36|584.2|606.213|342905.39971649996|||1|391
2026-07-15|TRT|23|10.26|0.83|12.9|4.543|590537.604551|||3|104
2026-07-16|EAF|15.04|6.85|0.33|5.1||275631.419137|||5|196
2026-07-16|HELP|13.52|6.51|0.19||8.008|989102.9492355|||3|404
2026-07-16|OWLT|11.03|6.13|0.01|||232839.3086665|||4|178
2026-07-16|PESI|10.11|14.83|0.12|3.1||406161.0813235|||7|330
2026-07-20|DUOT|13.29|8.21|0.02||1.359|651080.485287|||4|258
2026-07-20|NUCL|11.41|5.61|0|||331053.7858735|||5|166
2026-07-21|AGPU|10.22|8.71|0.59|9.2||210908.7113435|||7|105
2026-07-21|FWRD|19.75|13.2|0.39|6.1|9.12|1080630.833956|||2|417
2026-07-22|AGPU|20.97|9.54|3.09|||230518.3644415|||2|109
2026-07-22|RFIL|19.38|13.72|0||0.567|335328.5005225|||1|149
2026-07-23|AGPU|11.11|7.11|0.36|||262595.6349955|||6|109
2026-07-23|NVEC|41.52|86.68|0.24|3.7|14.473|281876.3785355|||1|419
2026-07-23|RELL|18.62|18.01|0.72|13.1||151592.2234265|||2|262
2026-07-24|AVBC|10.57|20.24|0.22|3.4||65700.69226899999|||8|416
2026-07-27|AGPU|23.21|6.85|3.92|101.9||284743.6428755|||3|78
2026-07-27|BNAI|12.01|11.16|0.33|5.1|1.145|239460.031685|||9|85
2026-07-27|IMMR|11.5|6.52|0.31|4.8||647303.712182|||8|238
