cohort	ticker	scan_date	max_gap	prev_close	n_min_bars	has_930	artifact	art_reason	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936
excluded	ARTV	2026-06-08	31.53	6.85	294	True	False		settled		True	7.42	7.16	7.68	-1.0		stop_hit	False	settled		True	7.42	7.16	7.68	-1.0		stop_hit	False
excluded	OCC	2026-06-08	82.93	12.3	390	True	False		no_entry	never_crossed_orb_high	False		17.130200000000002					False	no_entry	never_crossed_orb_high	False		17.130200000000002					False
excluded	RELL	2026-06-08	11.75	16.2	184	True	False		settled		True	16.53	16.49	16.590000000000003	-1.0		stop_hit	False	abstain	day0_fill_bar_straddles_stop	True	16.51	16.49	16.530000000000005				False
excluded	SRI	2026-06-08	12.83	7.09	107	True	False		settled		True	7.275	7.140000000000001	7.4350000000000005	-1.0		stop_hit	False	settled		True	7.275	7.140000000000001	7.4350000000000005	-1.0		stop_hit	False
excluded	ADUR	2026-06-09	21.53	14.4	353	True	False		settled		True	16.48	15.440000000000001	17.52	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		15.440000000000001					False
excluded	AMPG	2026-06-09	15.22	6.57	390	True	False		settled		True	7.43	6.735800000000001	8.124199999999998	-1.0		stop_hit	False	settled		True	7.43	6.735800000000001	8.124199999999998	-1.0		stop_hit	False
excluded	ARQQ	2026-06-09	11.62	12.82	329	True	False		settled		True	13.44	12.94	13.94	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		12.94					False
excluded	DTIL	2026-06-09	12.41	6.77	311	True	False		abstain	entry_window_gaps:1_of_29	False		6.69					False	abstain	entry_window_gaps:1_of_24	False		6.69					False
excluded	PANL	2026-06-09	10.65	7.23	286	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	SUJA	2026-06-10	14.53	15.55	325	True	False		settled		True	15.47	15.12	15.820000000000002	-1.0		stop_hit	False	abstain	entry_window_gaps:4_of_24	False		15.12					False
excluded	KZIA	2026-06-11	10.43	11.5	134	True	False		settled		True	12.13	11.93	12.390000000000002	-1.0		stop_hit	False	settled		True	12.13	11.93	12.390000000000002	-1.0		stop_hit	False
excluded	PRTA	2026-06-11	25.28	7.91	297	True	False		settled		True	7.9482	7.68	8.2346	1.1061396967437234		sma_trail_stop	True	settled		True	7.9482	7.68	8.2346	1.1061396967437234		sma_trail_stop	True
excluded	ASYS	2026-06-12	13.78	22.6	353	True	False		settled		True	23.53	22.089999999999996	24.970000000000006	0.3333333333333333		stop_hit	True	settled		True	23.65	22.089999999999996	25.33	0.35897435897435837		stop_hit	True
excluded	EIKN	2026-06-12	17.37	8.52	188	True	False		settled		True	8.66	8.409999999999998	8.920000000000002	0.3466666666666663		stop_hit	True	settled		True	8.66	8.409999999999998	8.920000000000002	0.3466666666666663		stop_hit	True
