ticker|scan_date|tick_dist_sec|scan_time_et|gap_pct|gap_pct_rt|gap_pct_delayed|prev_close|rel_volume|pm_rvol|projected_vol_multiple|adv|adv_source|today_volume|prev_day_volume|quality_adv_dollar|atr_pct|market_cap|vol_percentile|float_shares|in_active_theme|catalyst_quality|llm_catalyst_quality|ep_score|score_tier|filter_reason|reject_stage|minutes_since_open|prior_3m_change|ever_scored|max_ep_score|best_score_tier|max_gap_pct|any_catalyst_quality|any_llm_catalyst_quality|nearest_filter_reason
ALOT|2026-06-08|3359.974329|2026-06-08 12:35:00.025671+00|10.42|||14.49|0.02|||52042.4109375|polygon_20d|||||||||||||quality filter: filter:adv_too_low: $674,402||||f|||10.42|||quality filter: filter:adv_too_low: $674,402
ARTV|2026-06-08|359.935518|2026-06-08 13:25:00.064482+00|14.89|||6.85|0.03|||468618.675157|polygon_20d|||||||||||||quality filter: filter:mcap_too_small: $333M < $500M||||f|||31.53|||quality filter: filter:mcap_too_small: $333M < $500M
ASTC|2026-06-08|540.116751|2026-06-08 13:40:00.116751+00|10.75|||33.5|0.97|||74427.53107550001|polygon_20d|||||||||||||quality filter: filter:adv_too_low: $98,318||10||f|||10.75|||quality filter: filter:adv_too_low: $98,318
CGEM|2026-06-08|6059.961211|2026-06-08 11:50:00.038789+00|11.03|||13.51|0.01|9.421||986328.061802|polygon_20d|||||||||strong||42||score 42 < 50 (catalyst=strong)||||t|42||11.03|strong||score 42 < 50 (catalyst=strong)
CHRN|2026-06-08|659.926990|2026-06-08 13:20:00.07301+00|11.14|||19.03|0.02|0.511||397774.73196999996|polygon_20d|||||||||||||filter:pm_rvol_too_low: pm_rvol=0.51x (today 6,432 / baseline 12,577 n=22) < 1.0x||||f|||12.23|||filter:pm_rvol_too_low: pm_rvol=0.51x (today 6,432 / baseline 12,577 n=22) < 1.0x
DUKR|2026-06-08|1140.076455|2026-06-08 13:50:00.076455+00|11.98|||5.76|0.06||1.2|43976|polygon_20d|||||||||||||quality filter: filter:adv_too_low: $441,133||20||f|||11.98|||quality filter: filter:adv_too_low: $441,133
INTC|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|13.25|||99.17|0.07|2.434||153765390.445925|polygon_20d|||||||||||||EP cooldown — alerted within last 60 days||1||f|||13.25|||EP cooldown — alerted within last 60 days
IPWR|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|14.93|||6.03|0.12|2.486||915852.5155025|polygon_20d|||||||||||||quality filter: filter:atr_too_high: 20.9% > 15.0%||1||f|||15.42|||quality filter: filter:atr_too_high: 20.9% > 15.0%
JLHL|2026-06-08|840.594828|2026-06-08 13:45:00.594828+00|11.61|||44.8|0.08||2.1|51603.413644|polygon_20d|||||||||||||already up 137% in prior 5 days (extended)||15||f|||22.77|||already up 137% in prior 5 days (extended)
LFVN|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|10.03|||9.97|0.22|||436350.9525955|polygon_20d|||||||||||||quality filter: filter:adv_too_low: $902,024||1||f|||13.44|||quality filter: filter:adv_too_low: $902,024
LUCK|2026-06-08|1440.058525|2026-06-08 13:55:00.058525+00|10.94|||7.63|0.15||2.3|84569.5960085|polygon_20d|||||||||||||quality filter: filter:adv_too_low: $622,030||25||f|||10.94|||quality filter: filter:adv_too_low: $622,030
MKSI|2026-06-08|4259.962841|2026-06-08 12:20:00.037159+00|19.32|||301.65|0|2.686||1331308.7418075|polygon_20d|||||||||||||pre-mkt volume 3,519 < 25,000 shares||||f|||19.32|||pre-mkt volume 3,519 < 25,000 shares
NNE|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|10.1|||23.56|0.16|3.954||2667826.734995|polygon_20d|||||||||||||EP cooldown — alerted within last 60 days||1||f|||11.21|||EP cooldown — alerted within last 60 days
NRIX|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|13.52|||14.64|5.19|476.356||1057088.3050179998|polygon_20d|||||||||||||already scored earlier today||1||t|75.6|HIGH|26.09|game_changer||already scored earlier today
OCC|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|50.65|||12.3|13.57|||352195.743205|polygon_20d|||||||||||||quality filter: filter:mcap_too_small: $109M < $500M||1||f|||82.93|||quality filter: filter:mcap_too_small: $109M < $500M
PUSA|2026-06-08|4859.974090|2026-06-08 12:10:00.02591+00|10.08|||5.16|0.03|0.016||1074586.0047169998|polygon_20d|||||||||||||filter:pm_rvol_too_low: pm_rvol=0.02x (today 28,386 / baseline 1,773,843 n=13) < 1.0x||||f|||10.47|||filter:pm_rvol_too_low: pm_rvol=0.02x (today 28,386 / baseline 1,773,843 n=13) < 1.0x
RELL|2026-06-08|5159.962877|2026-06-08 12:05:00.037123+00|11.75|||16.2|0.01|||281631.831658|polygon_20d|||||||||||||quality filter: filter:mcap_too_small: $236M < $500M||||f|||11.75|||quality filter: filter:mcap_too_small: $236M < $500M
SDOT|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|19.36|||12.14|0.79|||313241.201075|polygon_20d|||||||||||||already up 345% in prior 5 days (extended)||1||f|||45.22|||already up 345% in prior 5 days (extended)
SRI|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|12.83|||7.09|0|||205942.750684|polygon_20d|||||||||||||quality filter: filter:mcap_too_small: $200M < $500M||1||f|||12.83|||quality filter: filter:mcap_too_small: $200M < $500M
STI|2026-06-08|6959.967497|2026-06-08 11:35:00.032503+00|10.97|||35.72|37.79|||67213.149317|polygon_20d|||||||||||||already up 668% in prior 5 days (extended)||||f|||12.57|||already up 668% in prior 5 days (extended)
TLYS|2026-06-08|1140.076455|2026-06-08 13:50:00.076455+00|11.11|||5.13|0.31||6|196733.953422|polygon_20d|||||||||||||quality filter: filter:adv_too_low: $689,403||20||f|||13.16|||quality filter: filter:adv_too_low: $689,403
TNGX|2026-06-08|0.045456|2026-06-08 13:31:00.045456+00|47.87|||20.22|0.92|86.417||3223894.7701709997|polygon_20d|||||||||routine||25||score 25 < 50 (catalyst=routine)||1||t|40||62.22|routine||score 25 < 50 (catalyst=routine)
