ticker	scan_date	n_min_bars	has_930	artifact	art_reason	gap_pct	prev_close	tick_dist_sec	ever_scored	best_score_tier	nearest_filter_reason	reject_stage	status	reason	entered	entry_px	stop	target	realized_r	mark_r	final_reason	partial_fired
ALOT	2026-06-08	100	True	False		10.42	14.49	3359.974329	f		quality filter: filter:adv_too_low: $674,402		settled		True	15.08	14.697999999999999	15.540000000000001	-1.0		stop_hit	False
ARTV	2026-06-08	294	True	False		14.89	6.85	359.935518	f		quality filter: filter:mcap_too_small: $333M < $500M		settled		True	7.42	7.16	7.68	-1.0		stop_hit	False
ASTC	2026-06-08	363	True	False		10.75	33.5	540.116751	f		quality filter: filter:adv_too_low: $98,318		no_entry	never_crossed_orb_high	False		34.4552					False
CGEM	2026-06-08	335	True	False		11.03	13.51	6059.961211	t		score 42 < 50 (catalyst=strong)		settled		True	14.2455	12.96	15.5765	-1.0		stop_hit	False
CHRN	2026-06-08	184	True	False		11.14	19.03	659.926990	f		filter:pm_rvol_too_low: pm_rvol=0.51x (today 6,432 / baseline 12,577 n=22) < 1.0x		settled		True	20.7	19.180000000000003	22.219999999999995	-1.0		stop_hit	False
DUKR	2026-06-08	42	False	False		11.98	5.76	1140.076455	f		quality filter: filter:adv_too_low: $441,133		abstain	no_930_bar_for_orb	False							False
INTC	2026-06-08	390	True	False		13.25	99.17	0.045456	f		EP cooldown — alerted within last 60 days		no_entry	never_crossed_orb_high	False		107.39					False
IPWR	2026-06-08	342	True	False		14.93	6.03	0.045456	f		quality filter: filter:atr_too_high: 20.9% > 15.0%		settled		True	6.88	6.659999999999999	7.1000000000000005	-1.0		stop_hit	False
JLHL	2026-06-08	37	True	False		11.61	44.8	840.594828	f		already up 137% in prior 5 days (extended)		no_trade	setup:zero_range	False							False
LFVN	2026-06-08	347	True	False		10.03	9.97	0.045456	f		quality filter: filter:adv_too_low: $902,024		no_entry	never_crossed_orb_high	False		10.12					False
LUCK	2026-06-08	170	True	False		10.94	7.63	1440.058525	f		quality filter: filter:adv_too_low: $622,030		no_trade	setup:zero_range	False							False
MKSI	2026-06-08	337	True	False		19.32	301.65	4259.962841	f		pre-mkt volume 3,519 < 25,000 shares		no_entry	never_crossed_orb_high	False		306.86					False
NNE	2026-06-08	390	True	False		10.1	23.56	0.045456	f		EP cooldown — alerted within last 60 days		no_entry	never_crossed_orb_high	False		25.099999999999998					False
NRIX	2026-06-08	390	True	False		13.52	14.64	0.045456	t	HIGH	already scored earlier today		settled		True	16.88	15.320000000000004	18.439999999999994	-1.0		stop_hit	False
OCC	2026-06-08	390	True	False		50.65	12.3	0.045456	f		quality filter: filter:mcap_too_small: $109M < $500M		no_entry	never_crossed_orb_high	False		17.130200000000002					False
PUSA	2026-06-08	289	True	False		10.08	5.16	4859.974090	f		filter:pm_rvol_too_low: pm_rvol=0.02x (today 28,386 / baseline 1,773,843 n=13) < 1.0x		abstain	entry_window_gaps:2_of_29	False		5.169999999999999					False
RELL	2026-06-08	184	True	False		11.75	16.2	5159.962877	f		quality filter: filter:mcap_too_small: $236M < $500M		settled		True	16.53	16.49	16.590000000000003	-1.0		stop_hit	False
SDOT	2026-06-08	380	True	False		19.36	12.14	0.045456	f		already up 345% in prior 5 days (extended)		settled		True	15.3	13.3	17.3	0.3333333333333333		stop_hit	True
SRI	2026-06-08	107	True	False		12.83	7.09	0.045456	f		quality filter: filter:mcap_too_small: $200M < $500M		settled		True	7.275	7.140000000000001	7.4350000000000005	-1.0		stop_hit	False
STI	2026-06-08	384	True	False		10.97	35.72	6959.967497	f		already up 668% in prior 5 days (extended)		abstain	entry_window_gaps:4_of_29	False		30.400000000000006					False
TLYS	2026-06-08	243	True	False		11.11	5.13	1140.076455	f		quality filter: filter:adv_too_low: $689,403		settled		True	5.5	5.010000000000001	6.02	-1.0		stop_hit	False
TNGX	2026-06-08	390	True	False		47.87	20.22	0.045456	t		score 25 < 50 (catalyst=routine)		no_entry	never_crossed_orb_high	False		29.349999999999998					False
VRCA	2026-06-08	36	True	False		10.68	6.04	0.045456	f		quality filter: filter:adv_too_low: $255,984		no_trade	setup:zero_range	False							False
WEAV	2026-06-08	293	False	False		15.99	5.69	0.045456	f		filter:session_rvol_too_low: session_rvol=0.02x (today 276 / baseline 14,130 n=22) < 1.0x		abstain	no_930_bar_for_orb	False							False
WOLF	2026-06-08	390	True	False		12.6	55.06	0.045456	f		quality filter: filter:atr_too_high: 20.3% > 15.0%		no_entry	never_crossed_orb_high	False		57.22					False
ACLS	2026-06-09	369	True	False		12.15	154.76	1440.060953	t		score 6 < 50 (catalyst=routine)		no_entry	triggered_above_limit_never_filled	False		158.605					False
ADUR	2026-06-09	353	True	False		14.65	14.4	0.033997	f		quality filter: filter:mcap_too_small: $486M < $500M		settled		True	16.48	15.440000000000001	17.52	0.3333333333333333		stop_hit	True
AIXI	2026-06-09	163	True	False		13.41	8.87	1440.060953	f		filter:session_rvol_too_low: session_rvol=0.55x (today 67,127 / baseline 121,387 n=21) < 1.0x		no_trade	setup:zero_range	False							False
AMPG	2026-06-09	390	True	False		12.56	6.57	0.033997	f		quality filter: filter:mcap_too_small: $166M < $500M		settled		True	7.43	6.735800000000001	8.124199999999998	-1.0		stop_hit	False
APLD	2026-06-09	390	True	False		12.27	40.945	0.033997	f		EP cooldown — alerted within last 60 days		settled		True	46.2399	44.5601	47.9197	-1.0		stop_hit	False
ARQQ	2026-06-09	329	True	False		11.62	12.82	959.915907	f		quality filter: filter:mcap_too_small: $223M < $500M		settled		True	13.44	12.94	13.94	0.3333333333333333		stop_hit	True
AVO	2026-06-09	389	True	False		11.18	10.11	1440.060953	t		score 46 < 50 (catalyst=routine)		settled		True	10.475	9.705	11.245	0.9956709956709964		sma_trail_stop	True
BAP	2026-06-09	388	True	False		10.68	319.89	1140.058668	t		score 36 < 50 (catalyst=strong)		settled		True	341.695	338.86499999999995	344.52500000000003	10.324852767962176		stop_hit	True
BARK	2026-06-09	139	True	False		13.49	9.56	5159.977734	f		quality filter: filter:adv_too_low: $421,957		settled		True	9.985	9.200099999999999	10.805	-1.2421964581475335		stop_hit	False
BNAI	2026-06-09	342	True	False		20.42	18.27	0.033997	f		quality filter: filter:atr_too_high: 19.0% > 15.0%		settled		True	22.21	20.89	23.53	-1.0		stop_hit	False
BVC	2026-06-09	125	True	False		14.9	9.295	7259.980836	f		quality filter: filter:adv_too_low: $20,998		settled		True	8.5	7.969999999999999	9.030000000000001	0.3333333333333333		stop_hit	True
CECO	2026-06-09	364	True	False		10.58	80.53	359.960442	t		score 6 < 50 (catalyst=routine)		settled		True	86.8	86.24	87.36	-1.0		stop_hit	False
CHRN	2026-06-09	309	True	False		10.64	18.89	0.033997	f		filter:session_rvol_too_low: session_rvol=0.64x (today 9,323 / baseline 14,651 n=22) < 1.0x		settled		True	20.98	19.59	22.37	-1.0287769784172656		stop_hit	False
CPSH	2026-06-09	387	True	False		10.32	7.75	8159.978058	f		quality filter: filter:atr_too_high: 24.4% > 15.0%		settled		True	8.31	7.49	9.13	-1.0		stop_hit	False
DTIL	2026-06-09	311	True	False		11.34	6.77	6659.977410	f		quality filter: filter:mcap_too_small: $175M < $500M		abstain	entry_window_gaps:1_of_29	False		6.69					False
FCEL	2026-06-09	390	True	False		12	15.5	0.033997	f		quality filter: filter:atr_too_high: 22.9% > 15.0%		settled		True	18.48	16.919999999999998	20.040000000000003	-1.0		stop_hit	False
NNNN	2026-06-09	33	True	False		10.16	17.22	1859.681957	f		quality filter: filter:adv_too_low: $645,788		abstain	entry_window_gaps:20_of_29	False		15.659999999999997					False
