ticker|theme|stage|corr|overlap|basket_n|members_n|verdict|sector|singleton_sector|paying
BDC|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|0.5538|60|5|6|admit|Technology|False|True
ALAB|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|0.6998|60|5|6|admit|Technology|False|True
COHR|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|0.8563|60|5|6|admit|Technology|False|True
GLW|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|0.8713|60|5|6|admit|Technology|False|True
LITE|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|0.8385|60|5|6|admit|Technology|False|True
APH|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|0.6715|60|5|6|admit|Technology|False|True
ADPT|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.5632|60|8|9|admit|Healthcare|False|True
TEM|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.6429|60|8|9|admit|Healthcare|False|True
DGX|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.2808|60|8|9|reject|Healthcare|False|True
PSNL|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.5245|60|8|9|admit|Healthcare|False|True
CAI|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.534|60|8|9|admit|Healthcare|False|True
CDNA|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.1527|60|8|9|reject|Healthcare|False|True
RDNT|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.4061|60|8|9|admit|Healthcare|False|True
HTFL|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.1208|60|8|9|reject|Healthcare|False|True
LH|AI-Driven Diagnostics & Imaging Re-Rating|Mainstream|0.2898|60|8|9|reject|Healthcare|False|True
MRVL|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.8005|60|6|7|admit|Technology|False|True
TSM|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.8173|60|6|7|admit|Technology|False|True
SMTC|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.7575|60|6|7|admit|Technology|False|True
AMD|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.8066|60|6|7|admit|Technology|False|True
SKHY|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.7628|52|6|7|admit|Technology|False|True
MU|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.8642|60|6|7|admit|Technology|False|True
NVDA|AI-Driven Memory & Storage Supply Shortage|Mainstream|0.389|60|6|7|admit|Technology|False|True
PATH|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.7828|60|17|18|admit|Technology|False|False
PD|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.7652|60|17|18|admit|Technology|False|False
ASAN|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.8528|60|17|18|admit|Technology|False|False
INTA|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.7108|60|17|18|admit|Technology|False|False
AI|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.6578|60|17|18|admit|Technology|False|False
WK|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.8547|60|17|18|admit|Technology|False|False
MNDY|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.7642|60|17|18|admit|Technology|False|False
APPN|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.8712|60|17|18|admit|Technology|False|False
DOCU|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.7756|60|17|18|admit|Technology|False|False
MSFT|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.1925|60|17|18|reject|Technology|False|False
SAP|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.8283|60|17|18|admit|Technology|False|False
CRM|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|0.772|60|17|18|admit|Technology|False|False
