ticker|theme|stage|members_n|corr_in|verdict_in|corr_oos|oos_overlap|sector|paying
LITE|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|6|0.8247|admit|0.6869|9|Technology|True
GLW|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|6|0.8411|admit|0.9663|9|Technology|True
COHR|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|6|0.8618|admit|0.7514|9|Technology|True
ALAB|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|6|0.7173|admit|0.8849|9|Technology|True
RMBS|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|6|0.8592|admit|0.6633|9|Technology|True
APH|AI Data Center High-Speed Interconnect & Signal Integrity Chipmakers|Accelerating|6|0.6367|admit|0.8181|9|Technology|True
DGX|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.3309|reject|0.6218|9|Healthcare|False
CDNA|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.1651|reject|0.3799|9|Healthcare|False
RDNT|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.3603|admit|0.4616|9|Healthcare|False
HTFL|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.1488|reject|0.2388|9|Healthcare|False
TEM|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.5428|admit|0.7882|9|Healthcare|False
LH|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.3094|reject|0.6732|9|Healthcare|False
ADPT|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.5223|admit|0.8443|9|Healthcare|False
CAI|AI-Driven Diagnostics & Imaging Re-Rating|Fading|8|0.5108|admit|0.6152|9|Healthcare|False
NVDA|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.3668|admit|0.9749|9|Technology|False
SKHY|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.7747|admit|0.9096|9|Technology|False
AMD|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.8449|admit|0.6613|9|Technology|False
TSM|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.7875|admit|0.917|9|Technology|False
SMTC|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.7562|admit|0.6771|9|Technology|False
MU|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.8204|admit|0.8294|9|Technology|False
MRVL|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.7993|admit|0.9125|9|Technology|False
ASML|AI-Driven Memory & Storage Supply Shortage|Nascent|8|0.7847|admit|0.8727|9|Technology|False
PLTR|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.4975|admit|0.8137|9|Technology|False
SAP|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.8349|admit|0.8937|9|Technology|False
MSFT|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.3238|reject|0.9076|9|Technology|False
ASAN|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.8612|admit|0.8598|9|Technology|False
CRM|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.7771|admit|0.8274|9|Technology|False
AI|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.6657|admit|0.844|9|Technology|False
MNDY|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.767|admit|0.9086|9|Technology|False
PEGA|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.8214|admit|0.9436|9|Technology|False
PD|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.7606|admit|0.8915|9|Technology|False
INTA|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.7445|admit|0.7915|9|Technology|False
APPN|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.8517|admit|0.9367|9|Technology|False
ORCL|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|-0.0512|reject|-0.4026|9|Technology|False
AVPT|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.7272|admit|0.9373|9|Technology|False
PATH|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.773|admit|0.8689|9|Technology|False
DOCU|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.7682|admit|0.7833|9|Technology|False
NOW|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|16|0.8918|admit|0.9512|9|Technology|False
ESS|Apartment & Single-Family Rental REITs|Nascent|6|0.9085|admit|0.9368|9|Real Estate|False
CPT|Apartment & Single-Family Rental REITs|Nascent|6|0.9339|admit|0.8798|9|Real Estate|False
MAA|Apartment & Single-Family Rental REITs|Nascent|6|0.9469|admit|0.9324|9|Real Estate|False
UDR|Apartment & Single-Family Rental REITs|Nascent|6|0.9353|admit|0.915|9|Real Estate|False
AMH|Apartment & Single-Family Rental REITs|Nascent|6|0.9096|admit|0.8813|9|Real Estate|False
INVH|Apartment & Single-Family Rental REITs|Nascent|6|0.9176|admit|0.7987|9|Real Estate|False
SSNC|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.6785|admit|0.1457|9|Technology|False
PAY|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.5187|admit|0.7517|9|Technology|False
QTWO|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.8606|admit|0.8066|9|Technology|False
JKHY|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.7084|admit|0.5665|9|Technology|False
ALKT|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.6325|admit|0.056|9|Technology|False
NCNO|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.6475|admit|0.7512|9|Technology|False
DLO|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.4311|admit|0.3681|9|Technology|False
ACIW|B2B Digital Financial Infrastructure & Payment Rails Modernization|Fading|9|0.6967|admit|0.5753|9|Technology|False
