date|ticker|source|target|target_today|group|target_members_at_branch|corr_at_branch|overlap|basket_n|verdict_at_branch|corr_today|verdict_today|current
2026-04-30|ADEA|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:no_history||n/a|no (gone 2026-05-04)
2026-04-30|ASIX|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
2026-04-30|CC|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
2026-04-30|CE|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
2026-04-30|LXU|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:no_history||n/a|no (gone 2026-05-01)
2026-04-30|MEOH|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
2026-04-30|RYAM|Nylon & Engineered Polymer Intermediates|Engineered Polymers & High-Performance Acetyl Chemicals|Engineered Polymers & High-Performance Acetyl Chemicals|chemicals|0||0|0|unjudgeable:no_history||n/a|no (gone 2026-05-04)
2026-04-30|ACDC|Large-Cap Upstream Oil & Gas E&P|Pressure Pumping & Completion Services|Pressure Pumping & Completion Services|oil_gas|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
2026-04-30|AESI|Large-Cap Upstream Oil & Gas E&P|Pressure Pumping & Completion Services|Pressure Pumping & Completion Services|oil_gas|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
2026-04-30|LBRT|Large-Cap Upstream Oil & Gas E&P|Pressure Pumping & Completion Services|Pressure Pumping & Completion Services|oil_gas|0||0|0|unjudgeable:thin_basket||n/a|no (gone 2026-05-01)
