theme|stage|evict|members_n|before_in|after_in|before|after|ctrl_mean|ctrl_ge_real|ctrl_n
AI-Driven Diagnostics & Imaging Re-Rating|Fading|DGX, CDNA, HTFL, LH|8|0.3613|0.5303|0.5778558861163077|0.733912198218648|0.524907264419389|15|300
AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Fading|MSFT, ORCL|16|0.6884|0.7710428571428573|0.7972620564620213|0.8790273440698867|0.7957167667309105|22|300
Commercial, Office & Home Furniture Retailers and Manufacturers|Accelerating|ETD|6|0.5558|0.6148|0.4221677946425622|0.36921855348455046|0.40244862720757224|193|300
Consumer Fintech & Digital Credit Platforms|Fading|KSPI, PYPL|14|0.4459857142857143|0.4750750000000001|0.5386618095555502|0.560874474405447|0.5329315774638873|71|300
Defense Electronics & Aerospace Subsystem Suppliers|Fading|RTX, ARXS, EMBJ|5|0.25778||0.47341684173278714||||0
Defensive Consumer Staples Rotation|Fading|UTZ, TBBB|16|0.5533812499999999|0.6621928571428571|0.5003874231842393|0.5342372442603102|0.49735412092465403|41|300
Digital Insurance Distribution & InsurTech Platforms|Fading|GSHD, LIFE, PRCH, NP|4|0.207||0.01697725463970244||||0
Diversified Power Generation Capacity Expansion for AI Electricity Demand|Nascent|OGE, HNRG, KEP|4|0.224725||0.5202366899587691||||0
Energy Supply Disruption: Middle East Geopolitical Risk|Mainstream|BTU, XPRO, FTK, NESR, WTTR|59|0.7129847457627119|0.766324074074074|0.7304859784780842|0.7808153784751961|0.731707073622988|1|300
Enterprise Server, Storage & Data Infrastructure Hardware|Fading|NTNX|8|0.4685875|0.5759142857142858|0.4975013599558883|0.622110695707385|0.49486977215495|41|300
Farm Economy Value Chain Re-Rating|Accelerating|FMC|7|0.5201285714285714|0.5602833333333334|0.6842519690194696|0.802844176563308|0.6726910599576043|41|300
Global Agriculture Value Chain Recovery|Mainstream|DOLE|9|0.4653111111111111|0.48435|0.5615989708761517|0.5666242434492867|0.5518451779616451|106|300
Hospital & Behavioral Health Facility Procedure Volume Recovery|Fading|ACHC|5|0.45055999999999996|0.6320250000000001|0.5946905348003199|0.6170633420478921|0.5734478641444158|128|300
Industrial Construction Execution & On-Site Supply Chain|Fading|TPC, TTEK, J, ACA, KBR, FLR|7|0.2123285714285714||0.3744161235738753||||0
Industrial Equipment & Flow Control – Capex Cycle Recovery|Fading|FLS, VLTO|4|0.3629||0.31208295723143786||||0
Inflammatory Disease & Immunology Biologics|Fading|TRAX|13|0.49179230769230775|0.5388999999999999|0.6704220971143733|0.6470960457318895|0.6677191106661459|235|300
Legacy Telecom & Pay-TV/Broadcasting Distribution Rebound|Nascent|CHTR, TDS, ECHO|4|0.23217500000000002||-0.12288881217258552||||0
Medical Device Mean-Reversion & Rotation Recovery|Fading|INSP|14|0.582392857142857|0.6125461538461537|0.6423048911199174|0.6770901911095788|0.6387129831746862|40|300
Molecular & Genomic Diagnostic Testing|Fading|VCYT, CDNA, BLLN|4|0.274275||0.6204746807526953||||0
Neurology & Rare Disease CNS Biopharmaceuticals|Nascent|BIIB, EWTX, ARWR|5|0.35612000000000005||0.40673582505998274||||0
Oil Refining & Marketing|Nascent|OGS, AESI, SWX, SR|27|0.5774370370370371|0.6209130434782609|0.5794321116324279|0.633976854071213|0.5749879831556505|6|300
Oncology Therapeutics RS Turnaround|Fading|SMMT, INCY, ZLAB|16|0.48536250000000003|0.5271538461538461|0.5049467017605576|0.4931104908469599|0.49393933427509484|148|300
Peptide & Hormone Therapies for Metabolic & Endocrine Disorders|Fading|CRNX, CORT|4|0.367125||||||0
Wealth Management & Retail Brokerage Platforms|Fading|XP, APAM|20|0.48353|0.5143777777777778|0.5037876874453336|0.5478764585631022|0.4992930750629949|16|300
