ticker,alert_date,ep_score,gap_pct,catalyst_quality,day1_class,d1_status,d1_pnl,d1_skip_reason,d1_mode,d1_closed_at,d1_entry,next_9m_ep_date,next_day2_date,next_flag_date,next_flag_date_incl_tightening,flag_rows_in_window,first_flag_scan_in_window,next_ep_date,max_high_21d,d0_open,r3_rows
BIO,2026-05-18,54,10.984527128024896,strong,NO_TRADE_ROW,,,,,,,,,,,10,2026-05-22,,319.86,274.72,0
CMPS,2026-05-18,72,12.198649951783999,game_changer,NO_TRADE_ROW,,,,,,,,,2026-05-29,2026-05-29,15,2026-05-19,,14.76,11.635,0
D,2026-05-18,32.4,11.19390895836709,mna,NO_TRADE_ROW,,,,,,,,,,,11,2026-05-19,,68.89,68.64,0
RAMP,2026-05-18,48,27.44436952124072,mna,NO_TRADE_ROW,,,,,,,,,2026-05-22,2026-05-22,14,2026-05-19,,37.9,37.8,0
SATG,2026-05-18,42,12.747353888633222,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,23.44,24.5,0
SHAZ,2026-05-18,72,11.348043760430182,game_changer,NO_TRADE_ROW,,,,,,,,,2026-05-19,2026-05-19,13,2026-05-19,,86.94,60.05,0
TE,2026-05-18,48,18.165784832451504,routine,NO_TRADE_ROW,,,,,,,,,2026-06-02,2026-06-02,15,2026-05-19,,12.49,6.7,0
AGYS,2026-05-19,96,29.85754985754985,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,94.5229,,,2026-05-27,2026-05-27,14,2026-05-20,,93.81,91.16,0
BKKT,2026-05-19,56.4,13.876146788990814,routine,NO_TRADE_ROW,,,,,,,,,,,11,2026-05-20,,13.04,9.93,0
ALAB,2026-05-20,100.8,15.68,strong,NO_TRADE_ROW,,,,,,,,,2026-06-03,2026-06-03,15,2026-05-21,,372.37,251.41,0
ARM,2026-05-20,100.8,16.36,strong,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,15,2026-05-21,,427.99,226.54,0
DYN,2026-05-20,84,17.86,strong,NO_TRADE_ROW,,,,,,,,,,,2,2026-05-29,,19.61,16.18,0
GH,2026-05-20,96,17.01,game_changer,NO_TRADE_ROW,,,,,,,,,2026-06-04,2026-06-04,14,2026-05-21,,134.28,100.84,0
IBRX,2026-05-20,72,10.18,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:50 ET,paper,,,,,,,10,2026-05-21,,8.295,8.42,0
IMVT,2026-05-20,115.2,35.26,strong,NO_TRADE_ROW,,,,,,,,,2026-05-28,2026-05-28,15,2026-05-21,,35.76,30.44,0
SLS,2026-05-20,100.8,19.89,strong,NO_TRADE_ROW,,,,,,,,,2026-05-27,2026-05-27,13,2026-05-21,,9.51,8.275,0
TATT,2026-05-20,84,16.05995717344754,strong,NO_TRADE_ROW,,,,,,,,,,,11,2026-05-26,,47.05,37.94,0
AAP,2026-05-21,50.4,12.39266198282592,strong,NO_TRADE_ROW,,,,,,,,,,,10,2026-05-28,,62.32,57.59,0
BIRK,2026-05-21,30,10.62932851550738,routine,NO_TRADE_ROW,,,,,,,,,,,14,2026-05-22,,46.63,36.74,0
GFS,2026-05-21,56.4,10.283938409379836,strong,NO_TRADE_ROW,,,,,,,,,2026-06-02,2026-06-02,13,2026-05-22,,92.55,78.07,0
INFQ,2026-05-21,115.2,22,strong,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,13.7,,,2026-05-29,2026-05-22,15,2026-05-22,,20.75,13.5,0
QBTS,2026-05-21,57.6,12.746113989637308,strong,NO_TRADE_ROW,,,,,,,,,2026-05-29,2026-05-29,14,2026-05-22,,31.55,21.76,0
QBTX,2026-05-21,62.4,25.963149078726964,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,115.16,60.16,0
QPUX,2026-05-21,54,18.524040253447644,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,55.2793,31.8,0
QUBX,2026-05-21,62.4,21.659751037344392,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,92.7996,58.64,0
RGTI,2026-05-21,68.4,10.693127962085306,strong,NO_TRADE_ROW,,,,,,,,,2026-05-29,2026-05-29,13,2026-05-22,,28.06,18.685,0
RGTX,2026-05-21,62.4,20.907079646017706,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,44.33,21.86,0
RLAY,2026-05-21,72,11.6,game_changer,LOST_DAY1,closed,-642.5502080000006,block:r3_reentry_disabled,paper,2026-05-21 13:40:57.233588+00,15.298413,,,2026-05-22,2026-05-22,15,2026-05-22,2026-06-02,17.47,14.98,1
DLLL,2026-05-22,42,11.517355834345413,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,30.6238,10.9613,0
EL,2026-05-22,26.4,12.736028386769735,routine,NO_TRADE_ROW,,,,,,,,,,,3,2026-06-09,,92.35,88.96,0
HLIT,2026-05-22,32.4,12.598425196850405,routine,NO_TRADE_ROW,,,,,,,,,2026-06-01,2026-05-25,15,2026-05-25,,17.68,14.3,0
IMAX,2026-05-22,36,13.695395513577333,mna,NO_TRADE_ROW,,,,,,,,,,,13,2026-05-26,,43.31,38.52,0
IMRX,2026-05-22,78,14.75095785440614,strong,NO_TRADE_ROW,,,,,,,,,,,10,2026-05-25,,5.955,5.99,0
PPTA,2026-05-22,72,11,game_changer,NO_ENTRY,cancelled,0,ORB window unfilled,paper,,29.15,,,,,0,,,27.84,28.95,0
SG,2026-05-22,54,10.467706013363024,strong,NO_TRADE_ROW,,,,,,,,,2026-05-29,2026-05-29,13,2026-05-25,,10.58,9.92,0
WW,2026-05-22,50.4,12.19028741328048,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,19.9,11.32,0
APPX,2026-05-26,44.4,14.51398135818909,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,61,43,0
ASPI,2026-05-26,66,14.954954954954957,strong,NO_TRADE_ROW,,,,,,,,,2026-06-08,2026-06-08,14,2026-05-27,,8.54,6.38,0
CCOI,2026-05-26,68.4,10.958149779735674,strong,NO_TRADE_ROW,,,,,,,,,,,3,2026-05-27,,21.72,20.15,0
ESLT,2026-05-26,50.4,11.678518402750639,strong,NO_TRADE_ROW,,,,,,,,,,,6,2026-05-28,,916.51,857.49,0
IPWR,2026-05-26,48,13.438045375218142,routine,NO_TRADE_ROW,,,,,,,,,2026-06-02,2026-06-02,11,2026-05-27,2026-05-27,9.3,6.5,0
JOYY,2026-05-26,54,11.852260198456442,strong,NO_TRADE_ROW,,,,,,,,,,,14,2026-05-27,,69.93,60.87,0
LUNL,2026-05-26,60,20.781171757636464,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,56.68,48.24,0
LUNR,2026-05-26,39.6,10.350235232618926,routine,NO_TRADE_ROW,,,,,,,,,,,12,2026-05-27,,46.75,42.22,0
MNTS,2026-05-26,72,75.60975609756099,routine,NO_TRADE_ROW,,,,,,,,,2026-06-04,2026-06-04,15,2026-05-27,,22.2,12.96,0
MOD,2026-05-26,96,17.829725165054526,game_changer,NO_TRADE_ROW,,,,,,,,,2026-06-02,2026-06-02,8,2026-06-02,,318.61,306.97,0
PONY,2026-05-26,84,15.470852017937228,strong,SKIPPED,skipped,0,setup:stop_too_wide: ORB range $0.74 (7.6%) > 1.5x ATR $0.73,paper,,,,,,,10,2026-05-27,,11.28,10.3,0
POWI,2026-05-26,84,17.52,strong,SKIPPED,skipped,0,window:out_of_orb: detected 09:52 ET,paper,,,,,2026-06-02,2026-06-02,12,2026-05-27,,89,79.235,0
QNTM,2026-05-26,54,13.74458874458874,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,7.83,10.51,0
RDW,2026-05-26,84,15.04,strong,NO_ENTRY,cancelled,0,expired,paper,,19.68,,,2026-06-04,2026-06-04,11,2026-05-27,,26.64,19.645,0
RDWU,2026-05-26,56.4,26.68621700879766,routine,NO_TRADE_ROW,,,,,,,,,,,0,,,59.29,34.56,0
SOFX,2026-05-26,44.4,10.18181818181818,routine,NO_TRADE_ROW,,,,,,,,,,,0,,2026-05-29,11.7699,9.09,0
ANF,2026-05-27,57.6,11.23,routine,SKIPPED,skipped,0,window:out_of_orb: detected 09:55 ET,paper,,,,,,,7,2026-06-08,,94.805,80.7,0
APPS,2026-05-27,96,34.92723492723494,strong,NO_TRADE_ROW,,,,,,,,,2026-06-05,2026-06-05,15,2026-05-28,,10.8,6.49,0
