ticker,alert_date,scan_date,stage,reason,universe_sources,base_age,runup_pct,flag_depth_pct,pivot_high_date,pivot_high_price,sma_10,sma_20,held_from_stage,score
BIO,2026-05-18,2026-05-22,unqualified,runup_19%_below_50%,{rs_1m_80},21,0.19088627148098092,,2026-04-22,308.38,,,,0
BIO,2026-05-18,2026-05-26,unqualified,runup_19%_below_50%,{rs_1m_80},22,0.19088627148098092,,2026-04-22,308.38,,,,0
BIO,2026-05-18,2026-05-27,unqualified,runup_19%_below_50%,"{rs_1m_80,momentum_25pct}",23,0.19088627148098092,,2026-04-22,308.38,,,,0
BIO,2026-05-18,2026-05-28,unqualified,runup_19%_below_50%,"{rs_1m_80,momentum_25pct}",24,0.19088627148098092,,2026-04-22,308.38,,,,0
BIO,2026-05-18,2026-05-29,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct}",0,,,2026-05-28,319.86,,,,0
BIO,2026-05-18,2026-06-01,unqualified,base_age_1_below_3,{rs_1m_80},1,,,2026-05-28,319.86,,,,0
BIO,2026-05-18,2026-06-02,unqualified,base_age_2_below_3,{rs_1m_80},2,,,2026-05-28,319.86,,,,0
BIO,2026-05-18,2026-06-03,unqualified,runup_35%_below_50%,{rs_1m_80},3,0.35115954885312384,,2026-05-28,319.86,,,,0
BIO,2026-05-18,2026-06-04,unqualified,runup_35%_below_50%,{rs_1m_80},4,0.35115954885312384,,2026-05-28,319.86,,,,0
BIO,2026-05-18,2026-06-05,unqualified,runup_35%_below_50%,{rs_1m_80},5,0.35115954885312384,,2026-05-28,319.86,,,,0
CMPS,2026-05-18,2026-05-19,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,ninem_universe_watch}",0,,,2026-05-18,11.65,,,,0
CMPS,2026-05-18,2026-05-20,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,ninem_universe_watch}",1,,,2026-05-18,11.65,,,,0
CMPS,2026-05-18,2026-05-21,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,ninem_universe_watch}",2,,,2026-05-18,11.65,,,,0
CMPS,2026-05-18,2026-05-22,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-21,12.03,,,,0
CMPS,2026-05-18,2026-05-25,unqualified,base_age_0_below_3,{ninem_universe_watch},0,,,2026-05-21,12.03,,,,0
CMPS,2026-05-18,2026-05-26,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-21,12.03,,,,0
CMPS,2026-05-18,2026-05-27,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,ninem_universe_watch}",1,,,2026-05-22,12.235,,,,0
CMPS,2026-05-18,2026-05-28,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,ninem_universe_watch}",2,,,2026-05-22,12.235,,,,0
CMPS,2026-05-18,2026-05-29,WATCH,runup_151% base_3d close_vs_pivot_+6.7%,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",3,1.507172131147541,,2026-05-22,12.235,11.432500000000001,10.591750000000001,,1
CMPS,2026-05-18,2026-06-01,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-29,13.1,,,,0
CMPS,2026-05-18,2026-06-02,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-06-01,14.76,,,,0
CMPS,2026-05-18,2026-06-03,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80}",1,,,2026-06-01,14.76,,,,0
CMPS,2026-05-18,2026-06-04,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80}",2,,,2026-06-01,14.76,,,,0
CMPS,2026-05-18,2026-06-05,INVALIDATED,close_12.11_below_base_low_close_12.69,"{rs_top200,rs_1m_80}",3,2.0245901639344264,,2026-06-01,14.76,12.6235,11.51025,,0
CMPS,2026-05-18,2026-06-08,INVALIDATED,close_11.73_below_base_low_close_12.11,"{rs_top200,rs_1m_80}",4,2.0245901639344264,,2026-06-01,14.76,12.6155,11.60125,,0
D,2026-05-18,2026-05-19,unqualified,base_age_0_below_3,"{rs_1m_80,ninem_universe_watch}",0,,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-20,unqualified,base_age_1_below_3,"{rs_1m_80,ninem_universe_watch}",1,,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-21,unqualified,base_age_2_below_3,{ninem_universe_watch},2,,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-22,unqualified,runup_17%_below_50%,{ninem_universe_watch},3,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-25,unqualified,runup_17%_below_50%,{ninem_universe_watch},3,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-26,unqualified,runup_17%_below_50%,{ninem_universe_watch},4,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-27,unqualified,runup_17%_below_50%,"{rs_1m_80,ninem_universe_watch}",5,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-28,unqualified,runup_17%_below_50%,"{rs_1m_80,ninem_universe_watch}",6,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-05-29,unqualified,runup_17%_below_50%,"{rs_1m_80,ninem_universe_watch}",7,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-06-01,unqualified,runup_17%_below_50%,{ninem_universe_watch},8,0.16720257234726676,,2026-05-18,68.97,,,,0
D,2026-05-18,2026-06-05,unqualified,runup_17%_below_50%,{rs_1m_80},12,0.16720257234726676,,2026-05-18,68.97,,,,0
RAMP,2026-05-18,2026-05-19,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-05-18,37.91,,,,0
RAMP,2026-05-18,2026-05-20,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",1,,,2026-05-18,37.91,,,,0
RAMP,2026-05-18,2026-05-21,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",2,,,2026-05-18,37.91,,,,0
RAMP,2026-05-18,2026-05-22,WATCH,runup_56% base_3d close_vs_pivot_-0.6%,"{rs_top200,rs_1m_80,momentum_25pct}",3,0.5639438943894388,,2026-05-18,37.91,33.412,31.649,,2
RAMP,2026-05-18,2026-05-26,INVALIDATED,close_37.66_below_base_low_close_37.68,"{rs_top200,momentum_25pct}",4,0.5073558648111332,,2026-05-18,37.91,34.243,32.051,,0
RAMP,2026-05-18,2026-05-27,WATCH,runup_51% base_5d close_vs_pivot_-0.6%,"{rs_top200,momentum_25pct}",5,0.5073558648111332,,2026-05-18,37.91,35.144,32.448,,2
RAMP,2026-05-18,2026-05-28,INVALIDATED,close_37.59_below_base_low_close_37.66,"{rs_top200,momentum_25pct}",6,0.5073558648111332,,2026-05-18,37.91,36.044,32.8455,,0
RAMP,2026-05-18,2026-05-29,INVALIDATED,close_37.56_below_base_low_close_37.59,"{rs_top200,momentum_25pct}",7,0.5073558648111332,,2026-05-18,37.91,36.887,33.262,,0
RAMP,2026-05-18,2026-06-01,WATCH,runup_51% base_8d close_vs_pivot_-0.9%,{rs_top200},8,0.5073558648111332,,2026-05-18,37.91,37.679,33.6305,,3
RAMP,2026-05-18,2026-06-02,TIGHTENING,range_1.27 vol_0.83 fresh,{rs_top200},9,0.5073558648111332,,2026-05-18,37.91,37.660000000000004,33.994,,3
RAMP,2026-05-18,2026-06-03,INVALIDATED,close_37.40_below_base_low_close_37.56,"{rs_top200,flag_stage_carryforward}",10,0.5073558648111332,,2026-05-18,37.91,37.632,34.3585,,0
RAMP,2026-05-18,2026-06-04,INVALIDATED,close_37.38_below_base_low_close_37.40,"{rs_top200,flag_stage_carryforward}",11,0.5073558648111332,,2026-05-18,37.91,37.597,34.7555,,0
RAMP,2026-05-18,2026-06-05,TIGHTENING,range_1.27 vol_0.77 fresh,"{rs_top200,flag_stage_carryforward}",12,0.5073558648111332,,2026-05-18,37.91,37.556,35.118,,3
RAMP,2026-05-18,2026-06-08,TIGHTENING,range_1.04 vol_0.60,{flag_stage_carryforward},13,0.5073558648111332,,2026-05-18,37.91,37.535000000000004,35.4735,,4
SHAZ,2026-05-18,2026-05-19,WATCH,runup_261% base_5d close_vs_pivot_-12.2%,"{rs_top200,rs_1m_80}",5,2.6108761329305135,,2026-05-11,59.76,54.093,48.7845,,1
SHAZ,2026-05-18,2026-05-20,INVALIDATED,close_50.24_below_base_low_close_52.10,{rs_1m_80},6,2.6108761329305135,,2026-05-11,59.76,53.717499999999994,49.25675,,0
SHAZ,2026-05-18,2026-05-21,WATCH,runup_261% base_7d close_vs_pivot_-3.4%,"{rs_top200,rs_1m_80}",7,2.6108761329305135,,2026-05-11,59.76,54.11749999999999,50.00925,,2
SHAZ,2026-05-18,2026-05-22,WATCH,runup_261% base_8d close_vs_pivot_+13.9%,"{rs_top200,rs_1m_80,momentum_25pct}",8,2.6108761329305135,,2026-05-11,59.76,55.6485,51.30275,,2
SHAZ,2026-05-18,2026-05-26,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-05-22,68.55,,,,0
SHAZ,2026-05-18,2026-05-27,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",1,,,2026-05-22,68.55,,,,0
SHAZ,2026-05-18,2026-05-28,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",2,,,2026-05-22,68.55,,,,0
SHAZ,2026-05-18,2026-05-29,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-05-28,74.98,,,,0
SHAZ,2026-05-18,2026-06-01,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-05-29,79.5,,,,0
SHAZ,2026-05-18,2026-06-02,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-06-01,82,,,,0
SHAZ,2026-05-18,2026-06-03,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",0,,,2026-06-02,86,,,,0
SHAZ,2026-05-18,2026-06-04,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct}",1,,,2026-06-02,86,,,,0
SHAZ,2026-05-18,2026-06-05,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80}",2,,,2026-06-02,86,,,,0
TE,2026-05-18,2026-05-19,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-18,7.18,,,,0
TE,2026-05-18,2026-05-20,unqualified,base_age_1_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",1,,,2026-05-18,7.18,,,,0
TE,2026-05-18,2026-05-21,unqualified,base_age_0_below_3,"{rs_1m_80,momentum_25pct,ninem_universe_watch}",0,,,2026-05-20,9.42,,,,0
