ticker,alert_date,day1_class,d1_skip_reason,has_r3_row,mfe_21d_pct,window_trading_days,days_board_evaluated,board_first_eval,board_best_gate,replay_best_gate,replay_modal_gate,replay_max_pole_ratio,replay_promoted_days,replay_promoted_on_unevaluated_day,r3_window_days_uncovered_by_board,r3_window_replay_promotes_on_uncovered_day
AVAV,2026-06-30,NO_ENTRY,ORB window unfilled,False,13.5,14,10,2026-07-01,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.48,0,0,0,0
AEHR,2026-07-15,NO_ENTRY,rejected,False,13.1,15,13,2026-07-16,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.74,0,0,0,0
MANE,2026-07-15,LOST_DAY1,,False,5.4,15,0,,never_in_universe,pole_under_90pct,pole_under_90pct,1.49,0,0,5,0
HUT,2026-07-20,LOST_DAY1,block:r3_reentry_disabled,True,18.6,15,9,2026-07-21,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.87,0,0,0,0
IREN,2026-07-20,SKIPPED,window:out_of_orb: detected 09:51 ET,False,20.1,15,8,2026-07-23,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.5,0,0,4,0
HAS,2026-07-21,SKIPPED,window:out_of_orb: detected 09:50 ET,False,15.8,15,13,2026-07-22,liquidity,liquidity,liquidity,,0,0,0,0
ARWR,2026-07-22,NO_ENTRY,cancelled,False,6.4,15,13,2026-07-23,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.38,0,0,0,0
NVCR,2026-07-23,LOST_DAY1,,False,19.2,15,9,2026-07-24,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.6,0,0,0,0
THC,2026-07-24,LOST_DAY1,block:r3_reentry_disabled,True,15.1,15,13,2026-07-27,pole_under_90pct,pole_under_90pct,liquidity,1.67,0,0,0,0
NNE,2026-07-27,SKIPPED,window:out_of_orb: detected 09:56 ET,False,27.3,15,5,2026-08-07,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.28,0,0,5,0
QBTS,2026-07-27,LOST_DAY1,,False,23.2,15,9,2026-08-04,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.56,0,0,5,0
TER,2026-07-29,SKIPPED,block:circuit_breaker: cooldown until 2026-07-29T13:36:25.18,False,20.7,15,13,2026-07-30,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.58,0,0,1,0
TEVA,2026-07-29,SKIPPED,window:out_of_orb: detected 09:51 ET,False,12.4,15,13,2026-07-30,liquidity,liquidity,liquidity,,0,0,1,0
ARM,2026-07-30,NO_ENTRY,ORB window unfilled,False,16.0,15,9,2026-07-31,below_sma20,below_sma20,pole_under_90pct,1.96,0,0,1,0
CORT,2026-07-30,SKIPPED,setup:stop_too_wide: ORB range $7.25 (6.9%) > 1.5x ATR $6.89,False,8.7,15,13,2026-07-31,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.74,0,0,1,0
EME,2026-07-30,SKIPPED,setup:size_too_small: $12 risk / $16.65 per-share < 1 share,False,12.1,15,3,2026-08-17,liquidity,liquidity,liquidity,,0,0,5,0
LRCX,2026-07-30,SKIPPED,window:out_of_orb: detected 09:51 ET,False,8.5,15,12,2026-07-31,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.72,0,0,1,0
PWR,2026-07-30,SKIPPED,setup:size_too_small: $12 risk / $21.95 per-share < 1 share,False,12.0,15,3,2026-08-17,pole_under_90pct,pole_under_90pct,liquidity,1.28,0,0,5,0
SIMO,2026-07-30,SKIPPED,setup:size_too_small: $12 risk / $29.11 per-share < 1 share,False,5.8,15,4,2026-08-04,pole_under_90pct,pole_under_90pct,pole_under_90pct,1.82,0,0,3,0
