ticker,scan_date,stage,reason,universe_sources
RLAY,2026-05-22,WATCH,runup_97% base_22d close_vs_pivot_-20.6%,"{magna53_failed_r3,ninem_universe_watch}"
RLAY,2026-05-25,WATCH,runup_93% base_22d close_vs_pivot_-20.6%,"{magna53_failed_r3,ninem_universe_watch}"
RLAY,2026-05-26,WATCH,runup_93% base_23d close_vs_pivot_-16.8%,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
RLAY,2026-05-27,WATCH,runup_93% base_24d close_vs_pivot_-15.3%,"{rs_top200,rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
DY,2026-05-28,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
RLAY,2026-05-28,WATCH,runup_89% base_24d close_vs_pivot_-19.0%,"{rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
DY,2026-05-29,unqualified,base_age_1_below_3,"{rs_1m_80,magna53_failed_r3}"
DELL,2026-06-01,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
DY,2026-06-01,unqualified,base_age_2_below_3,"{rs_1m_80,magna53_failed_r3}"
DELL,2026-06-02,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
DY,2026-06-02,INVALIDATED,close_485.97_below_base_low_close_493.89,"{rs_1m_80,magna53_failed_r3}"
DELL,2026-06-03,unqualified,base_age_1_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
DY,2026-06-03,INVALIDATED,close_484.11_below_base_low_close_485.97,"{rs_1m_80,magna53_failed_r3}"
DELL,2026-06-04,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
NVTS,2026-06-04,WATCH,runup_342% base_6d close_vs_pivot_-9.3%,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3}"
DELL,2026-06-05,INVALIDATED,close_394.39_below_base_low_close_421.08,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
NVTS,2026-06-05,WATCH,runup_342% base_7d close_vs_pivot_-25.8%,"{rs_top200,rs_1m_80,magna53_failed_r3}"
RUM,2026-06-05,unqualified,base_age_0_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NVTS,2026-06-08,INVALIDATED,close_24.48_below_base_low_close_24.86,"{rs_top200,rs_1m_80,magna53_failed_r3}"
RUM,2026-06-08,unqualified,base_age_1_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NRIX,2026-06-09,unqualified,runup_28%_below_50%,"{magna53_failed_r3,ninem_universe_watch}"
NVTS,2026-06-09,INVALIDATED,close_22.85_below_base_low_close_24.48,"{rs_top200,rs_1m_80,magna53_failed_r3}"
RUM,2026-06-09,unqualified,base_age_2_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NRIX,2026-06-10,unqualified,runup_28%_below_50%,"{magna53_failed_r3,ninem_universe_watch}"
NVTS,2026-06-10,INVALIDATED,close_20.50_below_base_low_close_22.85,{magna53_failed_r3}
RUM,2026-06-10,INVALIDATED,close_7.00_below_base_low_close_7.49,"{magna53_failed_r3,ninem_universe_watch}"
NRIX,2026-06-11,unqualified,runup_28%_below_50%,"{magna53_failed_r3,ninem_universe_watch}"
RUM,2026-06-11,INVALIDATED,close_7.54_below_sma20_8.17,"{magna53_failed_r3,ninem_universe_watch}"
NAVN,2026-06-12,unqualified,base_age_0_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NRIX,2026-06-12,unqualified,runup_28%_below_50%,"{magna53_failed_r3,ninem_universe_watch}"
NAVN,2026-06-15,unqualified,base_age_1_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NRIX,2026-06-15,unqualified,base_age_0_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NAVN,2026-06-16,unqualified,base_age_2_below_3,"{magna53_failed_r3,ninem_universe_watch}"
NAVN,2026-06-17,WATCH,runup_202% base_3d close_vs_pivot_-14.3%,"{rs_top200,magna53_failed_r3,ninem_universe_watch}"
JBL,2026-06-18,unqualified,base_age_0_below_3,{magna53_failed_r3}
NAVN,2026-06-18,WATCH,runup_202% base_4d close_vs_pivot_-10.6%,"{rs_top200,rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
JBL,2026-06-19,unqualified,base_age_0_below_3,{magna53_failed_r3}
JBL,2026-06-22,unqualified,base_age_1_below_3,{magna53_failed_r3}
JBL,2026-06-23,unqualified,base_age_2_below_3,{magna53_failed_r3}
JBL,2026-06-24,INVALIDATED,close_371.80_below_base_low_close_371.88,{magna53_failed_r3}
BW,2026-08-12,unqualified,runup_21%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
FIGS,2026-08-12,unqualified,base_age_2_below_3,"{rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
FRMI,2026-08-12,unqualified,runup_41%_below_90%,"{rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
NET,2026-08-12,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
TEAM,2026-08-12,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
BW,2026-08-13,unqualified,runup_21%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
FIGS,2026-08-13,unqualified,runup_79%_below_90%,"{rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
FRMI,2026-08-13,unqualified,runup_41%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
NET,2026-08-13,unqualified,runup_53%_below_90%,"{rs_top200,rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
TEAM,2026-08-13,unqualified,base_age_2_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
BW,2026-08-14,unqualified,runup_21%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
FIGS,2026-08-14,unqualified,runup_79%_below_90%,"{rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
FRMI,2026-08-14,unqualified,runup_41%_below_90%,"{magna53_failed_r3,ninem_universe_watch}"
NET,2026-08-14,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,magna53_failed_r3,ninem_universe_watch}"
TEAM,2026-08-14,unqualified,base_age_0_below_3,"{rs_top200,rs_1m_80,momentum_25pct,magna53_failed_r3,ninem_universe_watch}"
