id,ticker,alert_date,status,account_mode,signal_type,skip_reason,total_pnl,entry_attempt,filled_at,closed_at,entry_price,stop_price
164,RLAY,2026-05-21,closed,paper,magna53,block:r3_reentry_disabled,-642.5502080000006,1,2026-05-21 13:35:34.386398+00,2026-05-21 13:40:57.233588+00,15.298413,14.8
171,DY,2026-05-27,closed,paper,magna53,block:r3_reentry_disabled,-438.24000000000285,1,2026-05-27 13:41:58.990087+00,2026-05-27 15:33:49.537591+00,546.46,535.5
180,DELL,2026-05-29,closed,paper,magna53,block:r3_reentry_disabled,-271.92003000000125,1,2026-05-29 13:39:35.863577+00,2026-05-29 13:46:14.41856+00,421.112609,416.98
191,NVTS,2026-06-03,closed,paper,magna53,block:r3_reentry_disabled,-830.1402160000002,1,2026-06-03 13:42:30.615345+00,2026-06-03 13:49:07.660866+00,31.79,30.55
193,RUM,2026-06-04,closed,paper,magna53,block:r3_reentry_disabled,-983.4593429999984,1,2026-06-04 13:44:14.381004+00,2026-06-04 13:49:09.037289+00,9.935633,9.4
201,NRIX,2026-06-08,closed,paper,magna53,block:r3_reentry_disabled,-378.2401519999998,1,2026-06-08 13:45:45.421028+00,2026-06-08 13:55:03.263012+00,16.956238,16.1
208,NAVN,2026-06-11,closed,paper,magna53,block:r3_reentry_disabled,-319.46998400000007,1,2026-06-11 13:44:17.84133+00,2026-06-11 14:01:39.954252+00,24.399071,23.03
223,JBL,2026-06-17,closed,paper,magna53,block:r3_reentry_disabled,-164.11997800000086,1,2026-06-17 13:40:23.54728+00,2026-06-17 14:02:10.034212+00,413.835454,407.4
245,WULF,2026-07-06,closed,live,magna53,block:r3_reentry_disabled,-32.80000000000001,1,2026-07-06 13:33:00.613734+00,2026-07-06 13:57:29.842241+00,24.62,23.8
250,CRCL,2026-07-10,closed,live,magna53,block:r3_reentry_disabled,-19.180000000000064,1,2026-07-10 13:31:05.873424+00,2026-07-10 13:40:34.350753+00,70.65,69.29
251,WDFC,2026-07-10,closed,live,magna53,block:r3_reentry_disabled,-19.029999999999973,1,2026-07-10 13:31:19.680275+00,2026-07-10 13:40:35.912242+00,296.235,287.06
258,TSEM,2026-07-14,closed,live,magna53,block:r3_reentry_disabled,-23.010000000000048,1,2026-07-14 13:32:52.439996+00,2026-07-14 13:44:34.431088+00,274,266.34
266,HUT,2026-07-20,closed,live,magna53,block:r3_reentry_disabled,-19.530000000000015,1,2026-07-20 13:31:06.601111+00,2026-07-20 13:31:57.29657+00,103.48,101.4482
275,THC,2026-07-24,closed,live,magna53,block:r3_reentry_disabled,-16.279999999999973,1,2026-07-24 13:31:22.148201+00,2026-07-24 16:43:37.73624+00,241.67,233.58
276,WKC,2026-07-24,closed,live,magna53,block:r3_reentry_disabled,-23.799999999999955,1,2026-07-24 13:33:18.540694+00,2026-07-24 16:02:39.726184+00,40.16,39
291,FTNT,2026-07-30,closed,live,magna53,block:r3_reentry_disabled,-6.6299999999999955,1,2026-07-30 13:32:08.510614+00,2026-07-30 13:37:50.539792+00,166.65,160.185
303,BLZE,2026-08-04,closed,live,magna53,block:r3_reentry_disabled,-36.79410000000004,1,2026-08-04 13:31:01.724141+00,2026-08-04 19:50:00.523877+00,21.8121,20.1
304,BTDR,2026-08-04,closed,live,magna53,block:r3_reentry_disabled,-28.119999999999926,1,2026-08-04 13:34:50.844069+00,2026-08-04 13:46:20.105029+00,12.85,12.48
332,FIGS,2026-08-07,closed,live,magna53,block:r3_reentry_disabled,-6.838002000000003,1,2026-08-07 13:32:31.83824+00,2026-08-07 13:51:02.672915+00,15.495082,15.19
328,NET,2026-08-07,closed,live,magna53,block:r3_reentry_disabled,-15.389999999999986,1,2026-08-07 13:33:20.132317+00,2026-08-07 14:32:01.073202+00,316.13,311
333,TEAM,2026-08-07,closed,live,magna53,block:r3_reentry_disabled,-23.940000000000055,1,2026-08-07 13:31:22.079081+00,2026-08-07 13:43:54.13041+00,147.13,143.21
345,BW,2026-08-11,closed,live,magna53,block:r3_reentry_disabled,-49.60000000000008,1,2026-08-11 13:31:49.609+00,2026-08-11 13:31:56.783978+00,12.07,11.5
342,FRMI,2026-08-11,closed,live,magna53,block:r3_reentry_disabled,-31.490000000000045,1,2026-08-11 13:31:05.801705+00,2026-08-11 13:31:40.487398+00,7.29,7.05
367,ETON,2026-08-14,closed,live,magna53,block:r3_reentry_disabled,19.323599999999942,1,2026-08-14 13:31:02.570624+00,2026-08-14 13:45:11.151019+00,55.2012,55.2012
373,MRVL,2026-08-19,closed,live,magna53,block:r3_reentry_disabled,-43.27999999999997,1,2026-08-19 13:32:06.145346+00,2026-08-19 14:03:04.536415+00,241.5,230.15
394,PHVS,2026-09-08,closed,live,magna53,block:r3_reentry_disabled,-10.739999999999995,1,2026-09-08 13:31:14.905677+00,2026-09-08 15:41:38.994645+00,42,38.49999999999999
399,DFTX,2026-09-14,closed,live,magna53,block:r3_reentry_disabled,-23.730000000000004,1,2026-09-14 13:33:18.110617+00,2026-09-14 14:19:51.292124+00,43.76,40.41
