scan_date,bucket,expected,actual,missed,unexpected
2026-06-01,paper_era_<06-22,DELL DY,DELL DY,,
2026-06-02,paper_era_<06-22,DELL DY,DELL DY,,
2026-06-03,paper_era_<06-22,DELL DY,DELL DY,,
2026-06-04,paper_era_<06-22,DELL NVTS,DELL NVTS,,
2026-06-05,paper_era_<06-22,DELL NVTS RUM,DELL NVTS RUM,,
2026-06-08,paper_era_<06-22,NVTS RUM,NVTS RUM,,
2026-06-09,paper_era_<06-22,NRIX NVTS RUM,NRIX NVTS RUM,,
2026-06-10,paper_era_<06-22,NRIX NVTS RUM,NRIX NVTS RUM,,
2026-06-11,paper_era_<06-22,NRIX RUM,NRIX RUM,,
2026-06-12,paper_era_<06-22,NAVN NRIX,NAVN NRIX,,
2026-06-15,paper_era_<06-22,NAVN NRIX,NAVN NRIX,,
2026-06-16,paper_era_<06-22,NAVN,NAVN,,
2026-06-17,paper_era_<06-22,NAVN,NAVN,,
2026-06-18,paper_era_<06-22,JBL NAVN,JBL NAVN,,
2026-06-22,dark_06-22..08-11,JBL,JBL,,
2026-06-23,dark_06-22..08-11,JBL,JBL,,
2026-06-24,dark_06-22..08-11,JBL,JBL,,
2026-06-25,dark_06-22..08-11,,,,
2026-06-26,dark_06-22..08-11,,,,
2026-06-29,dark_06-22..08-11,,,,
2026-06-30,dark_06-22..08-11,,,,
2026-07-01,dark_06-22..08-11,,,,
2026-07-02,dark_06-22..08-11,,,,
2026-07-06,dark_06-22..08-11,,,,
2026-07-07,dark_06-22..08-11,WULF,,WULF,
2026-07-08,dark_06-22..08-11,WULF,,WULF,
2026-07-09,dark_06-22..08-11,WULF,,WULF,
2026-07-10,dark_06-22..08-11,WULF,,WULF,
2026-07-13,dark_06-22..08-11,CRCL WDFC WULF,,CRCL WDFC WULF,
2026-07-14,dark_06-22..08-11,CRCL WDFC,,CRCL WDFC,
2026-07-15,dark_06-22..08-11,CRCL TSEM WDFC,,CRCL TSEM WDFC,
2026-07-16,dark_06-22..08-11,CRCL TSEM WDFC,,CRCL TSEM WDFC,
2026-07-17,dark_06-22..08-11,CRCL TSEM WDFC,,CRCL TSEM WDFC,
2026-07-20,dark_06-22..08-11,TSEM,,TSEM,
2026-07-21,dark_06-22..08-11,HUT TSEM,,HUT TSEM,
2026-07-22,dark_06-22..08-11,HUT,,HUT,
2026-07-23,dark_06-22..08-11,HUT,,HUT,
2026-07-24,dark_06-22..08-11,HUT,,HUT,
2026-07-27,dark_06-22..08-11,HUT THC WKC,,HUT THC WKC,
2026-07-28,dark_06-22..08-11,THC WKC,,THC WKC,
2026-07-29,dark_06-22..08-11,THC WKC,,THC WKC,
2026-07-30,dark_06-22..08-11,THC WKC,,THC WKC,
2026-07-31,dark_06-22..08-11,FTNT THC WKC,,FTNT THC WKC,
2026-08-04,dark_06-22..08-11,FTNT,,FTNT,
2026-08-05,dark_06-22..08-11,BLZE BTDR FTNT,,BLZE BTDR FTNT,
2026-08-06,dark_06-22..08-11,BLZE BTDR FTNT,,BLZE BTDR FTNT,
2026-08-07,dark_06-22..08-11,BLZE BTDR,,BLZE BTDR,
2026-08-10,dark_06-22..08-11,BLZE BTDR FIGS NET TEAM,,BLZE BTDR FIGS NET TEAM,
2026-08-11,dark_06-22..08-11,BLZE BTDR FIGS NET TEAM,,BLZE BTDR FIGS NET TEAM,
2026-08-12,post_fix_>=08-12,BW FIGS FRMI NET TEAM,BW FIGS FRMI NET TEAM,,
2026-08-13,post_fix_>=08-12,BW FIGS FRMI NET TEAM,BW FIGS FRMI NET TEAM,,
2026-08-14,post_fix_>=08-12,BW FIGS FRMI NET TEAM,BW FIGS FRMI NET TEAM,,
2026-08-17,post_fix_>=08-12,BW ETON FRMI,BW ETON FRMI,,
2026-08-18,post_fix_>=08-12,BW ETON FRMI,BW ETON FRMI,,
2026-08-19,post_fix_>=08-12,ETON,ETON,,
2026-08-20,post_fix_>=08-12,ETON MRVL,ETON MRVL,,
2026-08-21,post_fix_>=08-12,ETON MRVL,ETON MRVL,,
2026-08-24,post_fix_>=08-12,MRVL,MRVL,,
2026-08-25,post_fix_>=08-12,MRVL,MRVL,,
2026-08-26,post_fix_>=08-12,MRVL,MRVL,,
2026-08-27,post_fix_>=08-12,,,,
2026-08-28,post_fix_>=08-12,,,,
2026-08-31,post_fix_>=08-12,,,,
2026-09-01,post_fix_>=08-12,,,,
2026-09-02,post_fix_>=08-12,,,,
2026-09-03,post_fix_>=08-12,,,,
2026-09-04,post_fix_>=08-12,,,,
2026-09-08,post_fix_>=08-12,,,,
2026-09-09,post_fix_>=08-12,PHVS,PHVS,,
2026-09-10,post_fix_>=08-12,PHVS,PHVS,,
2026-09-11,post_fix_>=08-12,PHVS,PHVS,,
2026-09-14,post_fix_>=08-12,PHVS,PHVS,,
2026-09-15,post_fix_>=08-12,DFTX PHVS,DFTX PHVS,,
2026-09-16,post_fix_>=08-12,DFTX,DFTX,,
2026-09-17,post_fix_>=08-12,DFTX,DFTX,,
2026-09-18,post_fix_>=08-12,DFTX,DFTX,,
2026-09-21,post_fix_>=08-12,DFTX,DFTX,,
2026-09-22,post_fix_>=08-12,,,,
2026-09-23,post_fix_>=08-12,,,,
2026-09-24,post_fix_>=08-12,,,,
2026-09-25,post_fix_>=08-12,,,,
