scan_date,rows_total,promoted,r3_tagged,ninem_tagged
2026-06-01,745,141,2,143
2026-06-02,744,163,2,145
2026-06-03,752,110,2,148
2026-06-04,741,141,2,148
2026-06-05,746,66,3,146
2026-06-08,700,139,2,138
2026-06-09,719,127,3,150
2026-06-10,678,117,3,141
2026-06-11,705,196,2,130
2026-06-12,705,173,2,114
2026-06-15,718,202,2,111
2026-06-16,613,134,1,101
2026-06-17,594,110,1,96
2026-06-18,605,134,2,93
2026-06-19,167,65,1,84
2026-06-22,601,120,1,85
2026-06-23,613,75,1,82
2026-06-24,617,86,1,77
2026-06-25,589,106,0,76
2026-06-26,572,15,0,73
2026-06-29,569,14,0,78
2026-06-30,568,17,0,76
2026-07-01,554,11,0,73
2026-07-02,566,11,0,68
2026-07-03,69,4,0,62
2026-07-06,555,18,0,64
2026-07-07,555,12,0,59
2026-07-08,552,11,0,57
2026-07-09,549,20,0,57
2026-07-10,554,11,0,54
2026-07-13,557,10,0,58
2026-07-14,551,20,0,55
2026-07-15,544,15,0,51
2026-07-16,566,7,0,52
2026-07-17,568,9,0,49
2026-07-20,578,4,0,55
2026-07-21,583,6,0,62
2026-07-22,575,6,0,66
2026-07-23,572,4,0,73
2026-07-24,585,6,0,78
2026-07-27,578,7,0,79
2026-07-28,570,5,0,81
2026-07-29,573,6,0,89
2026-07-30,587,6,0,99
2026-07-31,577,6,0,99
2026-08-04,628,4,0,112
2026-08-05,615,3,0,124
2026-08-06,592,3,0,133
2026-08-07,612,5,0,158
2026-08-10,606,7,0,154
2026-08-11,636,8,0,158
2026-08-12,582,9,5,158
2026-08-13,585,12,5,162
2026-08-14,560,10,5,155
2026-08-17,565,11,3,153
2026-08-18,574,11,3,157
2026-08-19,589,20,1,169
2026-08-20,572,16,2,155
2026-08-21,575,18,2,146
2026-08-24,566,12,1,124
2026-08-25,561,9,1,119
2026-08-26,561,10,1,120
2026-08-27,542,9,0,117
2026-08-28,554,7,0,112
2026-08-31,544,12,0,107
2026-09-01,543,10,0,106
2026-09-02,545,15,0,102
2026-09-03,545,16,0,86
2026-09-04,539,15,0,88
2026-09-07,87,7,0,80
2026-09-08,540,10,0,86
2026-09-09,535,8,1,79
2026-09-10,530,5,1,69
2026-09-11,532,6,1,63
2026-09-14,519,5,1,53
2026-09-15,523,5,2,48
2026-09-16,507,6,1,40
2026-09-17,509,5,1,35
2026-09-18,505,5,1,23
2026-09-21,504,5,1,15
2026-09-22,499,5,0,15
2026-09-23,495,6,0,0
2026-09-24,505,6,0,0
2026-09-25,494,6,0,0
