===S1_LATTICE_ALERT===
et|~|event_type|~|summary|~|left
2026-08-24 17:30|~|catalyst_lattice_monitor_alert|~|catalyst lattice revert trigger: high_volume_drop|~|{"today": "2026-08-24", "triggers": [{"kind": "high_volume_drop", "recent_avg": 1.4, "prior_avg": 4.19, "drop_pct": 66.6, "recent_days": 5, "prior_days": 21, "recent_high_n": 7, "prior_high_n": 88}]}
(1 row)
===S2_BOOTS===
et|~|event_type|~|left
2026-08-04 20:02|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-04 21:31|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-04 21:38|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-04 22:50|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-05 09:41|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-05 09:55|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-05 10:37|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-05 11:06|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-05 11:52|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-05 19:17|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-06 09:33|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-06 10:05|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-06 10:49|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 10:54|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 11:06|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 11:18|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 13:48|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 19:08|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 20:59|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 21:12|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 21:27|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 21:34|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 22:01|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 22:11|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-07 22:40|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 09:41|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 10:05|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 10:39|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 11:25|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 12:23|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 13:10|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 14:08|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 15:38|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 16:07|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 16:52|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-08 17:51|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-09 14:54|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-09 19:55|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-10 08:54|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-10 17:08|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-10 18:23|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-10 19:33|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-11 18:05|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-11 18:59|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-12 20:23|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-13 10:34|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-13 20:00|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-15 09:23|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-15 10:18|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-16 10:01|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-16 12:27|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
2026-08-16 15:00|~|dual_account_boot_verified|~|Alpaca clients verified for modes=['paper', 'live']
