=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-06-08|CGEM|6059.961211||11.03|13.51|0.01||986328.061802|||42|score 42 < 50 (catalyst=strong)
2026-06-08|NRIX|0.045456|1|13.52|14.64|5.19||1057088.3050179998||||already scored earlier today
2026-06-08|TNGX|0.045456|1|47.87|20.22|0.92||3223894.7701709997|||25|score 25 < 50 (catalyst=routine)
2026-06-09|ACLS|1440.060953|25|12.15|154.76|0.2||591028.6464140001|||6|score 6 < 50 (catalyst=routine)
2026-06-09|AVO|1440.060953|25|11.18|10.11|0.45||1097610.5463625|||46.1|score 46 < 50 (catalyst=routine)
2026-06-09|BAP|1140.058668|20|10.68|319.89|0.08||554135.0874795001|||36|score 36 < 50 (catalyst=strong)
2026-06-09|CECO|359.960442||10.58|80.53|0.05||951269.5945979999|||6|score 6 < 50 (catalyst=routine)
2026-06-09|VECO|1140.058668|20|12.61|61.04|0.22||1353997.3274055|||0|score 0 < 50 (catalyst=routine)
2026-06-09|VSH|1140.058668|20|10.42|57.22|0.07||8546092.889705501||||filter:session_rvol_too_low: session_rvol=0.62x (today 556,481 / baseline 893,756 n=20) < 1.0x
2026-06-10|CASY|1140.073238|20|12.39|761.18|0.24||495288.2224275|||36|score 36 < 50 (catalyst=routine)
2026-06-10|CBRL|0.040470|1|16.52|36.3|0.16||1061825.0283535|||25.9|score 26 < 50 (catalyst=routine)
2026-06-11|ELVN|0.035277|1|21.89|37|0.35||726611.6913205001||||already scored earlier today
2026-06-11|IDCC|1140.084524|20|15.2|253.91|0.26||354132.2715065|||84|
2026-06-11|IMOS|0.035277|1|10.67|55.12|0.06||127264.2221235|||20|score 20 < 50 (catalyst=strong)
2026-06-11|MH|8159.977395||10.7|12.8|0.01||419163.4760305|||42|score 42 < 50 (catalyst=strong)
2026-06-11|NAVN|0.035277|1|20.77|20.87|0.12||3896958.344165||||already scored earlier today
2026-06-11|VELO|1140.084524|20|13.89|22.68|0.34||3000725.305941|||7|score 7 < 50 (catalyst=routine)
2026-06-12|AKTS|1440.192583|25|11.92|19.46|0.27||151738.5565725|||54|
2026-06-12|SHAZ|0.032930|1|10.05|71.51|0.81||704230.188105||||already scored earlier today
2026-06-15|ABSI|1140.081677|20|17.35|6.8|0.16||5173585.9885444995|||6|score 6 < 50 (catalyst=routine)
2026-06-15|ATRO|7559.969922||13.03|80|0||740407.5433499999|||28.8|score 29 < 50 (catalyst=routine)
2026-06-15|AUGO|0.017537|1|10.03|60.89|0.01||821420.330569||||filter:session_rvol_too_low: session_rvol=0.85x (today 11,017 / baseline 13,008 n=22) < 1.0x
2026-06-15|HQ|1140.081677|20|19.71|10.91|0.56||292603.1095985|||84|
2026-06-15|HYMC|0.017537|1|10.59|25.76|0.03||2382789.5169345||||M&A/buyout catalyst — no momentum trade
2026-06-15|IDR|0.017537|1|12.67|36.39|0.07||268243.21135500004|||28.8|score 29 < 50 (catalyst=routine)
2026-06-15|MMYT|1140.081677|20|12.81|43.15|0.15||1001293.5959365|||60.5|
2026-06-15|SVM|1140.081677|20|13.05|11.3|0.13||4091578.890808|||44.4|score 44 < 50 (catalyst=strong)
2026-06-15|USAS|1140.081677|20|11.17|5.28|0.1||5212073.888174||||outside top-20 gap cap (gap 11.2%)
2026-06-15|WDC|1140.081677|20|13.22|562.925|0.15||7220759.9666524995|||10.1|score 10 < 50 (catalyst=routine)
2026-06-15|XE|1140.081677|20|15.36|18.59|0.1||4547359.838972||||filter:session_rvol_too_low: session_rvol=0.91x (today 475,968 / baseline 524,579 n=22) < 1.0x
2026-06-16|PURR|0.024540|1|12.42|9.34|0.07||19748260.2604145|||0|score 0 < 50 (catalyst=routine)
2026-06-16|RXT|0.024540|1|20.74|5.915|0.64||26136457.394183||||already scored earlier today
2026-06-16|WDC|4859.966387||10.58|653.53|0.08||7220759.9666524995|||21.6|score 22 < 50 (catalyst=strong)
