theme_date	name	stage	rs_avg	source	tickers
2026-03-19	AI Data Center Power Infrastructure	Accelerating	-1	live	BE,VRT,PWR,GEV,NXT
2026-03-19	Crypto Asset Recovery	Fading	-1	live	COIN,MSTR,RIOT,MARA,HUT,CLSK,BTBT,CIFR
2026-03-19	Crypto Recovery	Fading	-1	live	CRCL
2026-03-19	Downstream Oil Refining & Midstream	Nascent	-1	live	MPC,VLO,FANG
2026-03-19	Large-Cap Integrated & Upstream Oil & Gas	Nascent	-1	live	CVX,HAL,XLE
2026-03-19	Large-Cap Upstream Oil & Gas E&P	Nascent	-1	live	XOM,EOG,COP
2026-03-19	Optical Networking & AI Data Transmission Infrastructure	Accelerating	-1	live	LITE,COHR,MRVL,GLW,CIEN
2026-03-19	Optical Networking & Photonics Infrastructure	Nascent	-1	live	LITE,CIEN,COHR
2026-03-19	Pharma & Biotech Large-Cap Turnaround	Nascent	-1	live	MRNA,GILD,PFE
2026-03-19	Physical AI & Robotics	Fading	-1	live	TSLA,IRBT,NVEI,BDTX,HYLN,FIG,BFLY,EDIT
2026-03-19	Semiconductor Capital Equipment	Nascent	-1	live	AMAT,LRCX,KLAC
2026-03-19	Space Economy	Accelerating	-1	live	JOBY,KTOS,RKLB,AJRD,BKSY,SPIR,MNTS,LUNR,ASTS,PL
2026-03-19	U.S. Defense Primes & Aerospace	Nascent	-1	live	NOC,RTX,LMT,GD
2026-03-20	AI Data Center Power Infrastructure	Accelerating	-1	live	VRT,BE,GEV,NXT,PWR
2026-03-20	AI Memory & Storage	Accelerating	-1	live	LRCX,WDC,MU,SNDK,TSM,STX,MRAM
2026-03-20	Chip Architecture Licensing & IP Royalty Platforms	Nascent	-1	live	ARM,MRVL
2026-03-20	Crypto Asset Recovery	Fading	-1	live	COIN,MSTR,RIOT,MARA,HUT,CLSK,BTBT,CIFR
2026-03-20	Crypto Recovery	Fading	-1	live	CRCL
