id,ticker,session_date,signal_id,tick_wallclock_et,submit_time_et,window_out_of_orb,orb_high,orb_low,atr14_prior,atr14_prior_n,orb_valid,orb_skip_reason,day0_bars_source,entry_status,entry_reason,entry_price,entry_minute,stop_price,stop_pct_of_entry,target_price,target_r,outcome,final_reason,realized_r,realized_pct,mark_r,meets_3r,meets_4r,meets_positive,mark_meets_3r,mark_meets_4r,mark_meets_positive,partial_fired,gap_through,exit_session,sessions_walked,exits,day0_close,next_open_gap_pct,offering_flag,offering_forms,offering_checked_through,admission_era,replay_exit_era,replay_exit_rules,replay_asof_date,settle_version,settled_session,recorded_at,updated_at
1,BIAF,2026-09-09,1,2026-09-09 13:30:00.046689+00,09:31:00,f,11.49,10.8001,2.523957142857143,27,t,,stored,filled,,11.4903,2026-09-09 13:31:00+00,10.1102,12.011,12.870699999999998,2,settled,stop_hit,-1,-12.011000583100518,,f,f,f,,,,f,f,0,0,"[{""pnl"": -1.3800999999999988, ""time"": ""2026-09-09 11:16:00-04:00"", ""price"": 10.1102, ""reason"": ""stop_hit"", ""shares"": 1.0}]",10.5,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-09,lcl_v1,2026-09-09,2026-09-09 22:15:00.026681+00,2026-09-09 22:15:00.026681+00
2,PCLA,2026-09-10,2,2026-09-10 13:30:00.036487+00,09:31:00,f,10.0237,9,1.1095214285714288,27,t,,stored,filled,,10.0237,2026-09-10 13:31:00+00,7.9763,20.4256,12.0711,2,settled,stop_hit,0.3333333333333333,6.8085304495013474,,f,f,t,,,,t,f,1,1,"[{""pnl"": 0.6824666666666666, ""time"": ""2026-09-11"", ""price"": 12.0711, ""reason"": ""partial_profit"", ""shares"": 0.3333333333333333}, {""pnl"": 0.0, ""time"": ""2026-09-11T16:00:00"", ""price"": 10.0237, ""reason"": ""stop_hit"", ""shares"": 0.6666666666666667}]",9.72,29.4239,f,[],2026-09-11,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-11,lcl_v1,2026-09-11,2026-09-10 22:15:00.151538+00,2026-09-11 22:15:00.102816+00
4,COLA,2026-09-11,5,2026-09-11 13:30:00.045185+00,09:31:00,f,10.67,10.6,0.297014285714286,26,t,,stored,abstain,entry_window_gaps:21_of_29,,,,,,2,unscoreable,entry_window_gaps:21_of_29,,,,,,,,,,,,,,[],10.61,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-11,lcl_v1,2026-09-11,2026-09-11 22:15:00.108491+00,2026-09-11 22:15:00.108491+00
5,MKDW,2026-09-11,6,2026-09-11 13:40:00.069642+00,09:40:00,f,5.84,5.31,1.0857214285714283,23,t,,stored,no_entry,triggered_above_limit_never_filled,,,,,,2,no_trade,triggered_above_limit_never_filled,,,,,,,,,,,,,,[],7.75,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-11,lcl_v1,2026-09-11,2026-09-11 22:15:00.113943+00,2026-09-11 22:15:00.113943+00
6,PCLA,2026-09-11,4,2026-09-11 13:30:00.045185+00,09:31:00,f,12.7,12.55,0.8751428571428573,28,t,,stored,filled,,12.7,2026-09-11 13:31:00+00,12.400000000000002,2.3622,12.999999999999996,2,settled,stop_hit,-1,-2.3622047244094264,,f,f,f,,,,f,f,0,0,"[{""pnl"": -0.29999999999999716, ""time"": ""2026-09-11 09:31:00-04:00"", ""price"": 12.400000000000002, ""reason"": ""stop_hit"", ""shares"": 1.0}]",10.11,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-11,lcl_v1,2026-09-11,2026-09-11 22:15:00.118857+00,2026-09-11 22:15:00.118857+00
7,TNON,2026-09-11,3,2026-09-11 13:30:00.045185+00,09:31:00,f,8.25,7.81,0.8558571428571428,28,t,,stored,filled,,8.25,2026-09-11 13:31:00+00,7.369999999999999,10.6667,9.13,2,settled,stop_hit,-1,-10.666666666666675,,f,f,f,,,,f,f,0,0,"[{""pnl"": -0.8800000000000008, ""time"": ""2026-09-11 09:50:00-04:00"", ""price"": 7.369999999999999, ""reason"": ""stop_hit"", ""shares"": 1.0}]",5.93,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-11,lcl_v1,2026-09-11,2026-09-11 22:15:00.125179+00,2026-09-11 22:15:00.125179+00
8,VNCE,2026-09-14,7,2026-09-14 13:50:00.061393+00,,t,,,,,,,,window_out_of_orb,,,,,,,2,no_trade,window_out_of_orb,,,,,,,,,,,,,,[],,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-14,lcl_v1,2026-09-14,2026-09-14 22:15:00.020542+00,2026-09-14 22:15:00.020542+00
9,RLGT,2026-09-15,8,2026-09-15 13:30:00.055462+00,09:31:00,f,9.45,9.365,0.25679285714285716,27,t,,stored,filled,,9.45,2026-09-15 13:31:00+00,9.280000000000001,1.7989,9.619999999999997,2,settled,stop_hit,0.3333333333333333,0.5996472663139265,,f,f,t,,,,t,f,0,0,"[{""pnl"": 0.056666666666666046, ""time"": ""2026-09-15 09:33:00-04:00"", ""price"": 9.619999999999997, ""reason"": ""partial_profit"", ""shares"": 0.3333333333333333}, {""pnl"": 0.0, ""time"": ""2026-09-15 09:43:00-04:00"", ""price"": 9.45, ""reason"": ""stop_hit"", ""shares"": 0.6666666666666667}]",9.81,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-15,lcl_v1,2026-09-15,2026-09-15 22:15:00.027239+00,2026-09-15 22:15:00.027239+00
10,MKDW,2026-09-17,10,2026-09-17 13:30:00.042435+00,09:31:00,f,9.3,8.9201,1.6402285714285711,22,t,,stored,filled,,9.3,2026-09-17 13:35:00+00,8.540199999999999,8.1699,10.059800000000003,2,settled,stop_hit,-1,-8.169892473118301,,f,f,f,,,,f,f,0,0,"[{""pnl"": -0.759800000000002, ""time"": ""2026-09-17 15:19:00-04:00"", ""price"": 8.540199999999999, ""reason"": ""stop_hit"", ""shares"": 1.0}]",7.33,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-17,lcl_v1,2026-09-17,2026-09-17 22:15:00.028557+00,2026-09-17 22:15:00.028557+00
11,VEEA,2026-09-17,9,2026-09-17 13:30:00.042435+00,09:31:00,f,8.16,7.83,0.7850714285714285,27,t,,stored,filled,,8.16,2026-09-17 13:31:00+00,7.5,8.0882,8.82,2,settled,stop_hit,0.3333333333333333,2.696078431372549,,f,f,t,,,,t,f,0,0,"[{""pnl"": 0.22000000000000003, ""time"": ""2026-09-17 09:37:00-04:00"", ""price"": 8.82, ""reason"": ""partial_profit"", ""shares"": 0.3333333333333333}, {""pnl"": 0.0, ""time"": ""2026-09-17 09:39:00-04:00"", ""price"": 8.16, ""reason"": ""stop_hit"", ""shares"": 0.6666666666666667}]",5.33,,,[],,adm_2026-08-31_extension_cap_50_slot_rank_rs,era_c,"{""stop_mode"": ""entry_minus_2r"", ""breakeven_at_r"": null, ""ladder_partial"": false, ""score_separation"": true, ""intraday_partial_r"": 2.0, ""trail_prior_closes"": true, ""breakeven_at_partial"": true}",2026-09-17,lcl_v1,2026-09-17,2026-09-17 22:15:00.034097+00,2026-09-17 22:15:00.034097+00
