AAL|12.03|11.41|12.465|12.17
ABTC|14.25|14.4615|16.65|16.5
ACMR|47.09|46.14|51.4399|49.79
ADPT|15|14.84|14.86|14.53
ADXN|6.7|6.48|7.6|7
AEHR|57.35|63.16|75.8782|73.22
AEVA|13.884|13.01|15.196|14.93
AFJK|28.99|28|85|51.2
AFRM|51.82|49.81|59.93|59.62
AIFU|30.976|25.88|29.8|28.6
AKA|10.81|10|11.3499|10.76
ALGM|36.33|35.887|38.75|37.25
ALGT|90.68|86.53|91.86|88.24
ALK|41.65|39.91|43.57|42.54
AMCI|6.51|6.315|7|6.54
AMKR|51.92|52.42|62.6|59.72
APLD|28.445|27.79|31.92|30.81
ARQQ|13.76|12.86|16.6|16.23
ASST|10.2|10.25|13.6|13.53
ATCX|6.38|5.8|6.2|4.96
AU|113.3|107.42|112.26|104.47
AXTA|28.93|28.66|29.42|28.09
AXTI|50.99|53.18|69.4|62.93
BCS|24.095|23.51|24.08|23.91
BE|149.4|146.78|229.5499|213.84
BIYA|14.4|11.4|14.1|11.5
BTDR|10.415|10.36|12.65|12.61
CCEC|19.98|18.71|19.7|19.63
CCL|28.28|28.03|29.13|28.82
CDE|20.75|19.72|21.47|19.67
COMP|7.34|7.44|7.54|7.28
CPA|122|119.17|124.01|120.68
CRML|8.82|8.61|10.1|8.89
CTGO|21.14|21.16|25.9|24.82
CUK|28.24|27.91|29.04|28.8
DAL|73|68.08|73.4|71.99
ELAB|46.5|45|70|42
ELPW|122.85|101.25|104.4|81
EUDA|7.9798|7|7.46|6.42
EXK|10.48|9.79|10.21|9.86
FLNC|14.56|13.12|15.94|15.21
FTAI|265.92|259.63|274.999|269.83
GFI|52.765|48.67|50.45|47.39
GLXY|20.33|19|24.45|24.04
HAO|2867.2|2764.8|2918.4|2867.2
HMY|17.74|16.57|17.56|16.86
HOOD|76.8|71.83|87.55|87.32
HYMC|40.76|37|42.7499|40.33
INTR|8.48|8.15|8.63|8.38
IPX|30.15|30.95|34.5|33.72
ISPC|6.28|5.804|8.044|4.472
ISSC|23.3|23.02|26.2999|23.52
JEM|36.696|49.392|38.112|18.12
JHX|20.5|20.2|21.49|19.94
JLHL|6.59|5.76|6.1899|6.16
JMIA|7.32|6.96|7.5|7.29
JTAI|10.355|5.71|7.95|7.66
KC|14.99|14.63|17.2|16.88
KTOS|79.38|74.46|76.565|74.66
LASR|63.25|60.32|71.385|66.42
LEVI|22.65|21.81|23.1|22.27
LIF|46.25|43.97|43.99|42.59
LTBR|11.4|11.2|12.63|12.14
LUV|42.675|40.4|42.4|41.7
LYG|5.7|5.55|5.65|5.61
MGRT|31.56|43.75|77|68.37
MRLN|6.88|7.82|14.69|14.29
MT|60.29|60.04|62.48|61.57
MTEX|7.55|6.69|6.58|4.96
MU|415.13|406.73|465.78|456.23
NAVN|13.65|12.94|14.62|14.43
NCLH|20.54|20.16|21.36|21.12
NCRA|6.9|6.33|7.05|6.504
NEGG|38.71|35.28|45.99|42.46
NIPG|23.166|22.2|23.4|21.6
NVTS|9.54|9.537|10.38|10.26
OSCR|14.335|14.64|15.96|15.59
OUST|21.55|20.26|24.555|24.44
PLRZ|12.29|11.3|12.75|11.14
PONY|9.69|9.75|11.18|11.17
PSIX|69.23|69.198|88.179|83.13
QBTS|15.25|14.57|21.04|20.81
QNCX|66.78|36.62|31.78|24.6
QUBT|7.38|6.93|9.71|9.4
RCAT|13.23|13.04|13.5299|13.03
RCL|294.34|279.26|285.8|282.31
REAL|10.23|10.16|10.83|10.5
RGTI|15.139|14.53|19.51|19.11
RIOT|15.49|16.11|18.9098|17.42
RPM|110.6|108.72|113.17|105.69
RYAAY|65.77|64.2|63.995|61.97
SBSW|13.82|13.18|13.65|13.19
SCZM|8.64|7.94|9.27|8.82
SE|89|85.31|91.075|90.33
SERV|8.84|8.37|9.58|9.56
SEZL|72.35|69.49|71.35|70.66
SHMD|5.97|5.45|6.2543|5.81
SLXN|12.3|11.2|11.6|10.2
SMTK|13.49|16.495|23.235|17.195
SNCY|18.06|17.48|18.275|17.77
SNDK|784|780.9|965|891.72
SOFI|17.68|16.49|18.82|18.79
SOUN|7.38|6.79|7.94|7.85
TIGR|6.88|6.73|7.2799|7.23
TOUR|6.9|7.051|7.75|7.401
TRAXV|24.2|24.2|25.51|25.4
TSEM|208.31|203.655|219.46|215.63
UAL|99.45|96.3|99.74|94.27
UAMY|8.87|8.84|10.71|10.7
UCTT|69.988|68.65|78.9403|76.08
USAR|16.01|16.78|18.77|18.35
USAS|5.95|5.61|6.33|6.1
VCX|127.14|119.74|121|91.49
VELO|10.45|10.56|12.1981|11.29
VICR|175.18|179.99|198.02|194.2
VIK|78.15|77.89|81.98|81.17
VLRS|7.48|7.7|8.035|7.9
VNET|8.82|8.34|9.23|9.01
XP|20.45|19.79|21.62|20.8
