q	scan_date	ticker	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	adv	pm_rvol	rank_by_gap
scan	2026-08-07	AAOI	11.45	124.22	0.49	outside top-20 gap cap (gap 11.4%)				10303291.787234		35
scan	2026-08-07	ABNB	14.15	151.64	0.7	outside top-20 gap cap (gap 14.2%)				3538649.067701		22
scan	2026-08-07	ACMR	15.22	78.98	0.08	already scored earlier today				1322956.0848019999	4.318	19
scan	2026-08-07	AKAM	11.51	118.55	0.01	outside top-20 gap cap (gap 11.5%)				3710783.4604554996		22
scan	2026-08-07	AU	10.43	87.59	0.33	outside top-20 gap cap (gap 10.4%)				2514878.11594		47
scan	2026-08-07	AUGO	10.48	65.63	0.17	outside top-20 gap cap (gap 10.5%)				868764.7663075		46
scan	2026-08-07	AXTI	11.28	75.17	0.27	outside top-20 gap cap (gap 11.3%)				9764287.183109		38
scan	2026-08-07	CART	14.06	45.03	0.03	score 18 < 50 (catalyst=routine)	18		routine	4199067.123548	4.255	20
scan	2026-08-07	CENX	11.87	45.95	0.17	outside top-20 gap cap (gap 11.9%)				2070200.870925		31
scan	2026-08-07	CLRO	12.96	9.8	6.16	outside top-20 gap cap (gap 13.0%)				557167.871967		24
scan	2026-08-07	COHR	10.78	334.22	0.36	outside top-20 gap cap (gap 10.8%)				5511561.354783		42
scan	2026-08-07	CRML	11.35	6.55	0.18	outside top-20 gap cap (gap 11.3%)				6111516.0864375		36
scan	2026-08-07	CRSR	29.93	10.61	0.78	already scored earlier today				1646785.5515315	10.098	8
scan	2026-08-07	CTEV	33.53	26.84	0.16	pre-mkt volume 13,640 < 25,000 shares				83075.69141500001	2.619	5
scan	2026-08-07	DCH	12.7	5.67	0.1	outside top-20 gap cap (gap 12.7%)				3123085.1652504997		26
scan	2026-08-07	DOCS	66.94	20.66	5.9	already scored earlier today				3562105.632134	137.35	1
scan	2026-08-07	DV	12.94	11.71	6.44	outside top-20 gap cap (gap 12.9%)				2220744.0225885		24
scan	2026-08-07	FIGS	38.43	11.24	0.49	already scored earlier today				3468621.17856	12.174	3
scan	2026-08-07	FLR	11.49	48.75	0.26	outside top-20 gap cap (gap 11.5%)				2230747.7150075		34
scan	2026-08-07	FNKO	18.97	5.28	0.52	quality filter: filter:mcap_too_small: $295M < $500M				987718.907691		14
scan	2026-08-07	FOXF	10.71	18.86	0	outside top-20 gap cap (gap 10.7%)				575586.8948985001		25
scan	2026-08-07	FRD	17.36	37.72	0.29	quality filter: filter:mcap_too_small: $272M < $500M				88291.913787		19
scan	2026-08-07	FROG	16.81	83.04	0.01	filter:session_rvol_too_low: session_rvol=0.60x (today 32,426 / baseline 54,175 n=23) < 1.0x				2415650.7339805	0.599	13
scan	2026-08-07	GFI	11.03	37.34	0.21	outside top-20 gap cap (gap 11.0%)				3900640.4237025		40
scan	2026-08-07	GRDN	12.67	39.47	0.06	outside top-20 gap cap (gap 12.7%)				310744.60100599995		27
scan	2026-08-07	GRPN	10.79	25.15	0	outside top-20 gap cap (gap 10.8%)				1774829.8145845		24
scan	2026-08-07	GTLB	10.02	35.68	0.12	outside top-20 gap cap (gap 10.0%)				4004576.9089745		38
scan	2026-08-07	HALO	11.5	85.76	0.44	outside top-20 gap cap (gap 11.5%)				1802666.2796510002		33
