ticker|~|alert_date|~|source|~|skip_category|~|ep_score|~|gap_pct|~|catalyst_quality|~|open_d0|~|close_d0|~|ret_1d|~|ret_5d|~|ret_20d|~|max_high_5d|~|max_high_20d|~|refreshed_et|~|skip_reason
AARD|~|2026-08-18|~|scan_filter|~|adv_low|~||~|11.26|~||~|6.78|~|6.145|~|-0.004424778761061983|~||~||~|0.05309734513274328|~|0.05309734513274328|~|08-24 17:16|~|quality filter: filter:adv_too_low: $927,111
AIRG|~|2026-08-18|~|scan_filter|~|adv_low|~||~|10.54|~||~|5.35|~|5.41|~|0.016822429906542195|~||~||~|0.04400000000000005|~|0.04400000000000005|~|08-24 17:16|~|quality filter: filter:adv_too_low: $388,341
BANL|~|2026-08-18|~|scan_filter|~|extension_gate|~||~|31.98|~||~|11.52|~|13.55|~|0.05034722222222223|~||~||~|0.24565972222222224|~|0.24565972222222224|~|08-24 17:16|~|already up 169% in prior 5 days (extended)
DUOT|~|2026-08-18|~|scan_filter|~|mcap_low|~||~|21.3|~||~|11.525|~|11.59|~|-0.06724511930585686|~||~||~|0.11323210412147502|~|0.11323210412147502|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $323M < $500M
FLXS|~|2026-08-18|~|scan_filter|~|mcap_low|~||~|10.36|~||~|81|~|77.16|~|-0.03493827160493825|~||~||~|0.09246913580246907|~|0.09246913580246907|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $334M < $500M
HAE|~|2026-08-18|~|scan_filter|~|score_below_50|~|12|~|16.45|~|routine|~|102.5|~|104.65|~|0.05765853658536582|~||~||~|0.06898243902439026|~|0.06898243902439026|~|08-24 17:16|~|score 12 < 50 (catalyst=routine)
KURA|~|2026-08-18|~|scan_filter|~|cooldown|~||~|12.06|~||~|11.985|~|12.33|~|0.04547350855235711|~||~||~|0.07634543178973725|~|0.07634543178973725|~|08-24 17:16|~|EP cooldown — alerted within last 60 days
WEAV|~|2026-08-18|~|scan_filter|~|ma_filter|~||~|31.92|~||~|7.29|~|7.28|~|0.002743484224965648|~||~||~|0.005486968449931418|~|0.005486968449931418|~|08-24 17:16|~|M&A/buyout catalyst — no momentum trade
WETO|~|2026-08-18|~|scan_filter|~|extension_gate|~||~|66.69|~||~|43.05|~|33|~|-0.5177700348432055|~||~||~|0.244829268292683|~|0.244829268292683|~|08-24 17:16|~|already up 581% in prior 5 days (extended)
AARD|~|2026-08-19|~|scan_filter|~|adv_low|~||~|10.66|~||~|6.27|~|6.75|~|-0.060606060606060594|~||~||~|0.13875598086124405|~|0.13875598086124405|~|08-24 17:16|~|quality filter: filter:adv_too_low: $882,959
ARCT|~|2026-08-19|~|scan_filter|~|mcap_low|~||~|33.13|~||~|9.405|~|10.28|~|0.16852737905369494|~||~||~|0.544922913343966|~|0.544922913343966|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $233M < $500M
AXIL|~|2026-08-19|~|scan_filter|~|adv_low|~||~|10.98|~||~|6.71|~|5.9|~|-0.11028315946348737|~||~||~|0.0029806259314456725|~|0.0029806259314456725|~|08-24 17:16|~|quality filter: filter:adv_too_low: $44,620
BNTX|~|2026-08-19|~|scan_filter|~|score_below_50|~|42|~|17.3|~|routine|~|109.29|~|113.12|~|0.014639948760179286|~||~||~|0.10101564644523736|~|0.10101564644523736|~|08-24 17:16|~|score 42 < 50 (catalyst=routine)
DRD|~|2026-08-19|~|scan_filter|~|score_below_50|~|45.6|~|12.47|~|routine|~|27.15|~|27.83|~|0.08692449355432792|~||~||~|0.1565377532228361|~|0.1565377532228361|~|08-24 17:16|~|score 46 < 50 (catalyst=routine)
EIKN|~|2026-08-19|~|scan_filter|~|score_below_50|~|42|~|14.42|~|routine|~|12.77|~|12.01|~|-0.15818324197337508|~||~||~|0.13617854346123734|~|0.13617854346123734|~|08-24 17:16|~|score 42 < 50 (catalyst=routine)
EL|~|2026-08-19|~|scan_filter|~|score_below_50|~|42|~|16.1|~|routine|~|93.74|~|98.01|~|0.02570940900362717|~||~||~|0.11131854064433543|~|0.11131854064433543|~|08-24 17:16|~|score 42 < 50 (catalyst=routine)
KC|~|2026-08-19|~|scan_filter|~|cooldown|~||~|12.92|~||~|12.27|~|12.37|~|-0.06927465362673184|~||~||~|0.02118989405052973|~|0.02118989405052973|~|08-24 17:16|~|EP cooldown — alerted within last 60 days
MRK|~|2026-08-19|~|scan_filter|~|score_below_50|~|32.4|~|10.21|~|routine|~|146.94|~|152.2|~|0.013951272628283731|~||~||~|0.05138151626514231|~|0.05138151626514231|~|08-24 17:16|~|score 32 < 50 (catalyst=routine)
MRVI|~|2026-08-19|~|scan_filter|~|score_below_50|~|48|~|25.44|~|routine|~|6.717|~|7.22|~|0.2341819264552627|~||~||~|0.3205299985112401|~|0.3205299985112401|~|08-24 17:16|~|score 48 < 50 (catalyst=routine)
OPHC|~|2026-08-19|~|scan_filter|~|mcap_low|~||~|19.64|~||~|10.03|~|10.1|~|-0.08075772681954126|~||~||~|0.026919242273180596|~|0.026919242273180596|~|08-24 17:16|~|quality filter: filter:mcap_too_small: $127M < $500M
PPC|~|2026-08-19|~|scan_filter|~|catalyst_downgrade|~||~|11.25|~||~|30.4|~|31.28|~|0.027631578947368417|~||~||~|0.08059210526315799|~|0.08059210526315799|~|08-24 17:16|~|routine catalyst, gap 11.2%
TEM|~|2026-08-19|~|scan_filter|~|duplicate_scan|~||~|11.61|~||~|55.98|~|61.25|~|0.19060378706680975|~||~||~|0.3033226152197213|~|0.3033226152197213|~|08-24 17:16|~|already scored earlier today
TNON|~|2026-08-19|~|scan_filter|~|adv_low|~||~|113.67|~||~|11.67|~|11.41|~|-0.39417309340188517|~||~||~|0.5287060839760068|~|0.5287060839760068|~|08-24 17:16|~|quality filter: filter:adv_too_low: $159,684
TWST|~|2026-08-19|~|scan_filter|~|score_below_50|~|30|~|12.9|~|strong|~|128|~|142.39|~|0.0650781250000001|~||~||~|0.14007812500000005|~|0.14007812500000005|~|08-24 17:16|~|score 30 < 50 (catalyst=strong)
TWST|~|2026-08-19|~|high_unentered|~|window_missed|~|84|~|16.7|~|strong|~|128|~|142.39|~|0.0650781250000001|~||~||~|0.14007812500000005|~|0.14007812500000005|~|08-24 17:16|~|window:out_of_orb: detected 09:55 ET
AIAI|~|2026-08-20|~|scan_filter|~|adv_low|~||~|13.68|~||~|5.25|~|4.53|~|0.260952380952381|~||~||~|0.5809523809523811|~|0.5809523809523811|~|08-24 17:16|~|quality filter: filter:adv_too_low: $881,539
ASST|~|2026-08-20|~|scan_filter|~|catalyst_downgrade|~||~|10.03|~||~|16|~|16.13|~|0.13874999999999993|~||~||~|0.26983749999999995|~|0.26983749999999995|~|08-24 17:16|~|routine catalyst, gap 10.0%
ATS|~|2026-08-20|~|scan_filter|~|pm_rvol_low|~||~|14.64|~||~|19.655|~|19.28|~|0.004324599338590552|~||~||~|0.008394810480793647|~|0.008394810480793647|~|08-24 17:16|~|pre-mkt volume 217 < 25,000 shares
BANF|~|2026-08-20|~|scan_filter|~|ma_filter|~||~|22.49|~||~|112.38|~|112.74|~|0.004716141662217487|~||~||~|0.01824168001423751|~|0.01824168001423751|~|08-24 17:16|~|M&A/buyout catalyst — no momentum trade
BTDR|~|2026-08-20|~|scan_filter|~|cooldown|~||~|10.23|~||~|10.23|~|10.43|~|0.11143695014662744|~||~||~|0.15249266862170074|~|0.15249266862170074|~|08-24 17:16|~|EP cooldown — alerted within last 60 days
