ticker|~|scan_date|~|baseline_close|~|fwd_5d_pct|~|fwd_10d_pct|~|n_sessions_5d|~|n_sessions_10d|~|computed_et
AARD|~|2026-08-18|~|6.145|~|16.19|~|16.19|~|4|~|4|~|08-24 17:16
AIRG|~|2026-08-18|~|5.41|~|3.24|~|3.24|~|4|~|4|~|08-24 17:16
AMLX|~|2026-08-18|~|35.11|~|17.17|~|17.17|~|4|~|4|~|08-24 17:16
BANL|~|2026-08-18|~|13.55|~|5.9|~|5.9|~|4|~|4|~|08-24 17:16
DUOT|~|2026-08-18|~|11.59|~|2.24|~|2.24|~|4|~|4|~|08-24 17:16
FLXS|~|2026-08-18|~|77.16|~|8.9|~|8.9|~|4|~|4|~|08-24 17:16
HAE|~|2026-08-18|~|104.65|~|4.7|~|4.7|~|4|~|4|~|08-24 17:16
KURA|~|2026-08-18|~|12.33|~|4.62|~|4.62|~|4|~|4|~|08-24 17:16
WEAV|~|2026-08-18|~|7.28|~|0.69|~|0.69|~|4|~|4|~|08-24 17:16
WETO|~|2026-08-18|~|33|~|9.97|~|9.97|~|4|~|4|~|08-24 17:16
AARD|~|2026-08-19|~|6.75|~|5.48|~|5.48|~|3|~|3|~|08-24 17:16
ARCT|~|2026-08-19|~|10.28|~|41.34|~|41.34|~|3|~|3|~|08-24 17:16
AXIL|~|2026-08-19|~|5.9|~|14.07|~|14.07|~|3|~|3|~|08-24 17:16
BNTX|~|2026-08-19|~|113.12|~|6.37|~|6.37|~|3|~|3|~|08-24 17:16
DRD|~|2026-08-19|~|27.83|~|12.83|~|12.83|~|3|~|3|~|08-24 17:16
EIKN|~|2026-08-19|~|12.01|~|0.83|~|0.83|~|3|~|3|~|08-24 17:16
EL|~|2026-08-19|~|98.01|~|6.29|~|6.29|~|3|~|3|~|08-24 17:16
KC|~|2026-08-19|~|12.37|~|-5.58|~|-5.58|~|3|~|3|~|08-24 17:16
MRK|~|2026-08-19|~|152.2|~|1.5|~|1.5|~|3|~|3|~|08-24 17:16
MRNA|~|2026-08-19|~|174.38|~|-8.55|~|-8.55|~|3|~|3|~|08-24 17:16
MRVI|~|2026-08-19|~|7.22|~|22.85|~|22.85|~|3|~|3|~|08-24 17:16
MRVL|~|2026-08-19|~|237.27|~|6.43|~|6.43|~|3|~|3|~|08-24 17:16
OPHC|~|2026-08-19|~|10.1|~|-0.89|~|-0.89|~|3|~|3|~|08-24 17:16
PPC|~|2026-08-19|~|31.28|~|4.19|~|4.19|~|3|~|3|~|08-24 17:16
TEM|~|2026-08-19|~|61.25|~|19.12|~|19.12|~|3|~|3|~|08-24 17:16
TNON|~|2026-08-19|~|11.41|~|-28.22|~|-28.22|~|3|~|3|~|08-24 17:16
TWST|~|2026-08-19|~|142.39|~|2.49|~|2.49|~|3|~|3|~|08-24 17:16
(27 rows)
