id|~|scan_date|~|ticker|~|scan_time_et|~|minutes_since_open|~|gap_pct|~|prev_close|~|adv|~|adv_source|~|in_active_theme|~|rank_by_prescore|~|rank_by_gap|~|shortlisted_by_prescore|~|shortlisted_by_gap|~|acting_key|~|board_n|~|created_at
119|~|2026-08-24|~|AERO|~|2026-08-24 13:20:00.055551+00|~||~|9.18|~|13.72|~|381374.519707|~|pending|~|f|~|1|~|5|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:20:15.905817+00
124|~|2026-08-24|~|AERO|~|2026-08-24 13:25:00.043167+00|~||~|9.18|~|13.72|~|381374.519707|~|pending|~|f|~|1|~|5|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:25:03.397034+00
14|~|2026-08-24|~|BBCQ|~|2026-08-24 11:20:00.021275+00|~||~|9.68|~|9.71|~|99109.388025|~|pending|~|f|~|1|~|4|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:20:02.330145+00
109|~|2026-08-24|~|CAPR|~|2026-08-24 13:10:00.050086+00|~||~|9|~|6.29|~|8361148.216353|~|pending|~|f|~|1|~|5|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:10:03.134354+00
129|~|2026-08-24|~|CAPR|~|2026-08-24 13:30:00.05862+00|~|1|~|9.86|~|6.29|~|8361148.216353|~|pending|~|f|~|1|~|5|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:30:07.782165+00
134|~|2026-08-24|~|CAPR|~|2026-08-24 13:31:00.026922+00|~|1|~|10.33|~|6.29|~|8361148.216353|~|pending|~|f|~|1|~|4|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:31:04.536381+00
114|~|2026-08-24|~|CAPR|~|2026-08-24 13:15:00.065684+00|~||~|11.61|~|6.29|~|8361148.216353|~|pending|~|f|~|1|~|5|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:15:03.028907+00
115|~|2026-08-24|~|HVII|~|2026-08-24 13:15:00.065684+00|~||~|17.78|~|6.385|~|110394.760195|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:15:03.028907+00
153|~|2026-08-24|~|HVII|~|2026-08-24 13:55:00.077765+00|~|25|~|17.35|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|2|~|2026-08-24 13:55:06.00676+00
142|~|2026-08-24|~|HVII|~|2026-08-24 13:40:00.063109+00|~|10|~|25.14|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|3|~|2026-08-24 13:40:05.909542+00
101|~|2026-08-24|~|HVII|~|2026-08-24 13:00:00.089559+00|~||~|17.31|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:00:05.532237+00
120|~|2026-08-24|~|HVII|~|2026-08-24 13:20:00.055551+00|~||~|19.97|~|6.385|~|110394.760195|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:20:15.905817+00
93|~|2026-08-24|~|HVII|~|2026-08-24 12:55:00.020687+00|~||~|16.91|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:55:02.318907+00
135|~|2026-08-24|~|HVII|~|2026-08-24 13:31:00.026922+00|~|1|~|20.28|~|6.385|~|110394.760195|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:31:04.536381+00
