safeguard|~|account_mode|~|state|~|last_transition_at|~|last_evaluation_at|~|last_drawdown_pct|~|last_peak|~|last_peak_date|~|updated_at
breakeven_at_broker|~|live|~|on|~||~||~||~||~||~|2026-08-10 12:22:26.209152+00
broker_order_ingest|~|global|~|live_r1|~|2026-07-17 19:19:42.281428+00|~||~||~||~||~|2026-07-17 19:19:42.281428+00
drawdown_breaker|~|paper|~|OK|~|2026-07-20 20:12:00.067533+00|~|2026-08-24 20:12:00.032424+00|~|-0.00009682293889016474063187456255974439045530743896961212158203125|~|89854.740000000005238689482212066650390625|~|2026-08-06|~|2026-08-24 20:12:00.032424+00
drawdown_breaker|~|live|~|OK|~|2026-08-10 20:12:00.083154+00|~|2026-08-24 20:12:00.071666+00|~|-0.035284434761558909621204094264612649567425251007080078125|~|5163.75|~|2026-08-19|~|2026-08-24 20:12:00.071666+00
entry_ask_aware|~|live|~|on|~|2026-08-07 14:55:32.320813+00|~||~||~||~||~|2026-08-07 14:55:32.320813+00
ep_rt_entry_gap_recheck|~|global|~|on|~|2026-08-02 00:34:02.839426+00|~||~||~||~||~|2026-08-02 00:34:02.839426+00
ep_rt_gap_down_authoritative|~|global|~|on|~|2026-08-02 00:00:51.642252+00|~||~||~||~||~|2026-08-02 00:00:51.642252+00
ep_rt_sustain_enabled|~|global|~|on|~|2026-08-02 13:53:22.665283+00|~||~||~||~||~|2026-08-02 13:53:22.665283+00
holistic_judge_enabled|~|paper|~|on|~|2026-06-10 14:43:03.242215+00|~||~||~||~||~|2026-06-10 14:43:03.242215+00
kill_scale_band|~|live|~|HOLD|~|2026-06-19 21:40:00.248851+00|~||~||~||~||~|2026-06-19 21:40:00.248851+00
lane2_grouping_v2|~|paper|~|on|~||~||~||~||~||~|2026-08-09 14:04:29.905221+00
manual_trading_halt|~|live|~|off|~|2026-06-29 01:54:14.214935+00|~||~||~||~||~|2026-06-29 01:54:14.214935+00
partial_exit_leg_safe|~|global|~|on|~|2026-08-04 22:52:16.225706+00|~||~||~||~||~|2026-08-04 22:52:16.225706+00
profit_take_oco|~|live|~|on|~|2026-08-17 15:03:32.692265+00|~||~||~||~||~|2026-08-17 15:03:32.692265+00
profit_take_resting_limit|~|live|~|on|~|2026-08-10 21:15:16.430312+00|~||~||~||~||~|2026-08-10 21:15:16.430312+00
theme_birth_gate|~|paper|~|observe|~|2026-07-30 02:29:56.50867+00|~||~||~||~||~|2026-07-30 02:29:56.50867+00
theme_subtheme_arm|~|paper|~|on|~|2026-07-16 21:15:36.460811+00|~||~||~||~||~|2026-07-16 21:15:36.460811+00
(17 rows)
