scan_date|~|ticker|~|last_tick_et|~|gap_pct|~|prev_close|~|rel_volume|~|ep_score|~|score_tier|~|catalyst_quality|~|adv|~|adv_source|~|pm_rvol|~|rank_by_gap|~|projected_vol_multiple|~|minutes_since_open|~|price_source|~|filter_reason
2026-08-24|~|AEMD|~|08:20|~|8.058608058608066|~|2.73|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $2.73 < $5.00 floor
2026-08-24|~|AEON|~|09:50|~|5.049453409682465|~|0.1921|~||~||~||~||~||~||~||~||~||~|20|~||~|filter:universe_prev_close_too_low: prior close $0.19 < $5.00 floor
2026-08-24|~|AERO|~|09:25|~|9.18|~|13.72|~|0.01|~||~||~||~|252892.4994255|~|polygon_20d|~|2.634|~|5|~||~||~|polygon_delayed|~|pre-mkt volume 3,037 < 25,000 shares
2026-08-24|~|AGRZ|~|07:50|~|6.716672349130581|~|0.2933|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.29 < $5.00 floor
2026-08-24|~|AIFC|~|07:00|~|5.045125018493863|~|0.6759|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor
2026-08-24|~|AIFU|~|07:30|~|6.811388169665788|~|18.4999|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_day_illiquid: prior-day volume 47,973 < 50,000 shares floor
2026-08-24|~|AIXI|~|09:10|~|5.987762237762233|~|0.4576|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.46 < $5.00 floor
2026-08-24|~|AKTX|~|09:45|~|7.006369426751602|~|7.85|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_day_illiquid: prior-day volume 10,988 < 50,000 shares floor
2026-08-24|~|ALVO|~|09:55|~|7.2234762979684035|~|4.43|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $4.43 < $5.00 floor
2026-08-24|~|AMC|~|09:55|~|7.36078431372549|~|2.55|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $2.55 < $5.00 floor
2026-08-24|~|ANY|~|09:45|~|6.130268199233722|~|2.61|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $2.61 < $5.00 floor
2026-08-24|~|APRE|~|09:55|~|6.356395439637681|~|0.6403|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.64 < $5.00 floor
2026-08-24|~|ARAI|~|09:15|~|5.7340382269215135|~|0.2459|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.25 < $5.00 floor
2026-08-24|~|ARAY|~|09:55|~|6.405693950177921|~|0.281|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.28 < $5.00 floor
2026-08-24|~|ARBB|~|09:55|~|5.696703296703294|~|4.55|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $4.55 < $5.00 floor
2026-08-24|~|AREN|~|09:40|~|8.06754221388367|~|0.9061|~||~||~||~||~||~||~||~||~||~|10|~||~|filter:universe_prev_close_too_low: prior close $0.91 < $5.00 floor
2026-08-24|~|ARTL|~|07:35|~|5.491329479768792|~|0.692|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.69 < $5.00 floor
2026-08-24|~|AVAT|~|09:55|~|10.17951856385149|~|0.4902|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $0.49 < $5.00 floor
2026-08-24|~|AVX|~|09:55|~|10.942989214175647|~|3.245|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $3.25 < $5.00 floor
2026-08-24|~|AXIL|~|09:00|~|17.97385620915032|~|6.12|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_day_illiquid: prior-day volume 28,762 < 50,000 shares floor
2026-08-24|~|AZIO|~|07:15|~|5.172413793103453|~|1.16|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.16 < $5.00 floor
2026-08-24|~|BAK|~|08:35|~|5.527638190954779|~|1.99|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.99 < $5.00 floor
2026-08-24|~|BBCQ|~|07:20|~|9.68|~|9.71|~|0.86|~||~||~||~|219771.2533625|~|polygon_20d|~|95.759|~|4|~||~||~|polygon_delayed|~|quality filter: filter:mcap_too_small: $372M < $500M
2026-08-24|~|BCAB|~|09:20|~|7.232704402515722|~|3.18|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $3.18 < $5.00 floor
2026-08-24|~|BCTX|~|07:55|~|10.073710073710076|~|4.07|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $4.07 < $5.00 floor
2026-08-24|~|BDRX|~|09:55|~|6.2992125984252025|~|1.27|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.27 < $5.00 floor
2026-08-24|~|BGL|~|09:35|~|5.1724137931034395|~|0.203|~||~||~||~||~||~||~||~||~||~|5|~||~|filter:universe_prev_close_too_low: prior close $0.20 < $5.00 floor
2026-08-24|~|BGM|~|09:45|~|6.3286313381624115|~|0.2623|~||~||~||~||~||~||~||~||~||~|15|~||~|filter:universe_prev_close_too_low: prior close $0.26 < $5.00 floor
2026-08-24|~|BIOX|~|09:10|~|6.41868904513495|~|0.4409|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $0.44 < $5.00 floor
2026-08-24|~|BIYA|~|09:30|~|5.485232067510544|~|2.37|~||~||~||~||~||~||~||~||~||~|1|~||~|filter:universe_prev_close_too_low: prior close $2.37 < $5.00 floor
2026-08-24|~|BMEA|~|09:55|~|16.07299270072992|~|1.37|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.37 < $5.00 floor
2026-08-24|~|BMR|~|07:15|~|6.8702290076335775|~|1.31|~||~||~||~||~||~||~||~||~||~||~||~|filter:universe_prev_close_too_low: prior close $1.31 < $5.00 floor
2026-08-24|~|BNR|~|09:55|~|5.521472392638047|~|9.78|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_day_illiquid: prior-day volume 4,631 < 50,000 shares floor
2026-08-24|~|BOLD|~|09:30|~|8.333333333333332|~|3|~||~||~||~||~||~||~||~||~||~|1|~||~|filter:universe_prev_close_too_low: prior close $3.00 < $5.00 floor
2026-08-24|~|BRLS|~|09:55|~|8.01621621621621|~|1.85|~||~||~||~||~||~||~||~||~||~|25|~||~|filter:universe_prev_close_too_low: prior close $1.85 < $5.00 floor
2026-08-24|~|BRLT|~|09:50|~|5.32330827067669|~|1.33|~||~||~||~||~||~||~||~||~||~|20|~||~|filter:universe_prev_close_too_low: prior close $1.33 < $5.00 floor
