alert_date|~|ticker|~|gap_pct|~|ep_score|~|score_tier|~|catalyst_quality|~|catalyst_type|~|src|~|fire_status|~|materiality_tier|~|setup_class|~|created_et
2026-08-11|~|BW|~|34.91|~|96|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-11 07:00
2026-08-11|~|FRMI|~|17.01|~|96|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|episodic_neglect|~|08-11 07:01
2026-08-11|~|RIOT|~|17.92|~|115.2|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-11 07:00
2026-08-11|~|RPD|~|16.78|~|84|~|none|~|strong|~|other|~|live|~||~||~|unclassified|~|08-11 09:50
2026-08-11|~|SE|~|10.58|~|54.7|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-11 07:25
2026-08-12|~|ATRO|~|11.29|~|72|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-12 09:20
2026-08-12|~|BE|~|15.16|~|84|~|HIGH|~|strong|~|theme|~|live|~||~||~|mature_leader|~|08-12 09:50
2026-08-12|~|BRUN|~|12.04|~|60|~|none|~|strong|~|other|~|live|~||~||~|unclassified|~|08-12 08:55
2026-08-12|~|CRWV|~|19.51|~|51.6|~|HIGH|~|routine|~|sales_acceleration|~|live|~||~||~|mature_leader|~|08-12 09:50
2026-08-12|~|EROC|~|16.09|~|96|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-12 07:05
2026-08-12|~|GLBE|~|10.67|~|72|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-12 07:06
2026-08-12|~|HRB|~|16.76|~|100.8|~|MODERATE|~|strong|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-12 09:45
2026-08-12|~|MRX|~|12.45|~|53.3|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-12 09:55
2026-08-12|~|NBIS|~|12.2|~|54.7|~|MODERATE|~|strong|~|sales_acceleration|~|live|~||~||~|mature_leader|~|08-12 08:00
2026-08-12|~|WYFI|~|17.34|~|84|~|MODERATE|~|strong|~|management_change|~|live|~||~||~|unclassified|~|08-12 07:20
2026-08-13|~|BLSH|~|12.4|~|54|~|MODERATE|~|routine|~|other|~|live|~||~||~|episodic_neglect|~|08-13 09:56
2026-08-13|~|CGEM|~|12.24|~|72|~|HIGH|~|game_changer|~|policy|~|live|~||~||~|unclassified|~|08-13 08:30
2026-08-13|~|CRMD|~|10|~|64.8|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-13 08:15
2026-08-13|~|HLIT|~|23.79|~|96|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-13 07:00
2026-08-13|~|KURA|~|13.43|~|60.5|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-13 09:50
2026-08-13|~|OMER|~|22.54|~|60|~|HIGH|~|routine|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-13 09:45
2026-08-14|~|ETON|~|23.28|~|96|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-14 07:20
2026-08-14|~|HTFL|~|25.12|~|96|~|HIGH|~|game_changer|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-14 07:00
2026-08-14|~|LPTH|~|10.03|~|54.7|~|MODERATE|~|strong|~|policy|~|live|~||~||~|unclassified|~|08-14 09:10
2026-08-14|~|NMAX|~|16.75|~|100.8|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|unclassified|~|08-14 09:50
2026-08-14|~|RDDT|~|12.24|~|54.7|~|MODERATE|~|strong|~|policy|~|live|~||~||~|mature_leader|~|08-14 07:01
2026-08-14|~|STDN|~|12.9|~|53.3|~|MODERATE|~|strong|~|theme|~|live|~||~||~|unclassified|~|08-14 09:55
2026-08-14|~|VERA|~|14.23|~|86.4|~|HIGH|~|game_changer|~|policy|~|live|~||~||~|episodic_neglect|~|08-14 07:25
2026-08-17|~|ARGX|~|10.53|~|86.4|~|HIGH|~|game_changer|~|policy|~|live|~||~||~|mature_leader|~|08-17 07:20
2026-08-17|~|CBRS|~|12.78|~|60|~|none|~|strong|~|pre_catalyst_anticipation|~|live|~||~||~|mature_leader|~|08-17 09:55
2026-08-18|~|AMLX|~|21.33|~|96|~|HIGH|~|game_changer|~|policy|~|live|~||~||~|unclassified|~|08-18 07:20
2026-08-19|~|MRNA|~|33.1|~|115.2|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|mature_leader|~|08-19 07:10
2026-08-19|~|MRVL|~|11.38|~|69.1|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|mature_leader|~|08-19 08:50
2026-08-19|~|TEM|~|16.76|~|51.6|~|none|~|routine|~|unknown|~|live|~||~||~|mature_leader|~|08-19 09:50
2026-08-19|~|TWST|~|16.7|~|84|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|mature_leader|~|08-19 09:55
2026-08-20|~|BULL|~|15.16|~|100.8|~|HIGH|~|strong|~|sales_acceleration|~|live|~||~||~|episodic_neglect|~|08-20 07:10
2026-08-20|~|RARE|~|11.39|~|72|~|HIGH|~|game_changer|~|policy|~|live|~||~||~|unclassified|~|08-20 07:01
2026-08-20|~|SCSC|~|20.58|~|96|~|none|~|strong|~|unknown|~|live|~||~||~|unclassified|~|08-20 09:25
2026-08-21|~|UUUU|~|9.28|~|51.6|~|HIGH|~|strong|~|new_product|~|live|~||~||~|episodic_neglect|~|08-21 09:55
(39 rows)
