et_date|~|event_type|~|count
2026-08-19|~|ep_rt_universe_coverage|~|38
2026-08-19|~|theme_discovery_llm_call|~|32
2026-08-19|~|9m_ep_detected|~|29
2026-08-19|~|stage_change|~|27
2026-08-19|~|assignment_llm_proposed|~|26
2026-08-19|~|theme_ecosystem_assigned|~|18
2026-08-19|~|ep_rt_admit|~|17
2026-08-19|~|order_status_reconciled|~|16
2026-08-19|~|theme_merge_distinct|~|15
2026-08-19|~|assignment_skipped_sector_outlier|~|14
2026-08-19|~|ep_rt_floor_flip_up|~|14
2026-08-19|~|theme_discovered|~|13
2026-08-19|~|metric_sample|~|13
2026-08-19|~|ep_catalyst_provenance|~|13
2026-08-19|~|ep_rt_volume_shadow|~|11
2026-08-19|~|ep_rt_floor_flip_down|~|11
2026-08-19|~|theme_score_ties|~|10
2026-08-19|~|ep_rt_universe_catch|~|10
2026-08-19|~|split_detected|~|10
2026-08-19|~|split_phantom_detected|~|10
2026-08-19|~|theme_stage_flip_held|~|9
2026-08-19|~|ticker_revalidated_out|~|8
2026-08-19|~|path_coverage_gap|~|8
2026-08-19|~|theme_low_quality_description|~|8
2026-08-19|~|ep_rt_rvol_gate_flip|~|8
2026-08-19|~|validation_cooldown_triggered|~|8
2026-08-19|~|theme_pass1_5_skip|~|8
2026-08-19|~|dead_column_detected|~|7
2026-08-19|~|catalyst_earnings_revenue_weak_downgrade|~|6
2026-08-19|~|theme_pass1_protect_strip|~|6
2026-08-19|~|anticipation_coil_buyout_pin_rejected|~|5
2026-08-19|~|dual_account_creds_resolved|~|5
2026-08-19|~|theme_sector_cap_dropped|~|5
2026-08-19|~|account_mode_active|~|5
2026-08-19|~|stop_order_id_changed|~|4
2026-08-19|~|description_generated|~|4
2026-08-19|~|catalyst_earnings_boost|~|4
2026-08-19|~|ep_rt_sustain_reject|~|4
2026-08-19|~|ep_grade_decision|~|4
2026-08-19|~|split_applied|~|4
2026-08-19|~|telegram_markdown_fallback|~|4
2026-08-19|~|theme_birth_gate|~|4
