src|tag|ticker|alert_date|n_bars|reason|thin_history|open|prior_close|gap_open_pct|adr20_pct|overhead_vol_frac|overhead_vol_frac_60d|overhead_vol_frac_at_prior_close|n_gaps|n_unfilled_gaps|overhead_unfilled_gap_span_adr|inside_unfilled_gap|nearest_overhead_gap_bottom_adr|n_levels|n_qualified|zones_overhead_at_prior_close|zones_cleared|zones_remaining|zones_remaining_in_band|adr_to_next_zone|blue_sky|rmv_15|rmv_tight|base_range_adr|base_gap_max_adr|base_gap_span_adr|base_gap_count_1p0x|tight_v2|label|trailing_high|near_high_frac|open_above_trailing_high|advd20|first_bar|last_prior_bar
prod|cohort|ALMU|2026-04-13|183||0|14.03|10.755|30.451|8.44837|0.821064|0.702583|0.995002|2|0|0|0||21|17|17|2|15|2|0.111785|0|94.9938|0|2.50603|0|0|0|0|IFFY_AT_FIRST_ZONE|25.8828|0.415527|0|7.42401e+06|2025-07-21|2026-04-10
prod|cohort|ANL|2026-04-13|183||0|12.08|11.16|8.24373|12.3843|0.00110265|0.00186479|0.0494905|10|1|0|0||2|2|2|0|2|2|0.00661753|0|62.3119|0|6.07786|0|0|0|0|IFFY_AT_FIRST_ZONE|12.15|0.918519|0|1.54538e+06|2025-07-21|2026-04-10
prod|cohort|BBGI|2026-04-13|182||0|12.39|11.76|5.35714|14.5381|0.26085|0.0199041|0.283519|16|1|0|0||1|0|0|0|0|0||1|100|0|17.2362|3.15446|3.15446|1|0|CLEAR_AIR|26.37|0.445961|0|52770.4|2025-07-21|2026-04-10
prod|cohort|BBOT|2026-04-13|167||0|8.63|8.4|2.7381|5.88385|0.981362|0.946788|0.99408|1|0|0|0||22|20|20|0|20|1|1.18162|0|87.2425|0|1.63143|0|0|0|0|CLEARED_NOTHING|14.87|0.564896|0|1.47741e+06|2025-08-12|2026-04-10
prod|cohort|BJRI|2026-04-13|183||0|37.32|37.4|-0.213904|3.47718|0.335962|0.527893|0.330193|6|1|0|0||11|7|7|0|7|1|1.2715|0|84.1021|0|3.08665|0.369602|0.369602|0|0|CLEARED_NOTHING|45.99|0.81322|0|1.35704e+07|2025-07-21|2026-04-10
prod|cohort|BWET|2026-04-13|183||0|168.31|162.94|3.29569|13.2288|0.012613|0.0154126|0.0249291|62|29|0|0||0|0|0|0|0|0||1|54.7065|0|4.89961|0.41021|0.800238|0|0|CLEAR_AIR|179.9|0.905726|0|1.52309e+07|2025-07-21|2026-04-10
prod|cohort|CRDO|2026-04-13|183||0|123.66|119.57|3.42059|7.45177|0.618306|0.266264|0.668194|20|0|0|0||19|15|15|1|14|5|0.221382|0|74.0552|0|4.15975|0.0543247|0.0543247|0|0|IFFY_AT_FIRST_ZONE|213.8|0.559261|0|5.98231e+08|2025-07-21|2026-04-10
prod|cohort|CRDU|2026-04-13|143||0|6.4625|6.0075|7.57387|14.6791|0.484456|0.333731|0.558384|17|1|33.7589|0|19.5148|16|11|11|1|10|2|0.0948728|0|71.0417|0|4.11877|0.127141|0.145157|0|0|IFFY_AT_FIRST_ZONE|91.8|0.0654412|0|6.47422e+06|2025-09-16|2026-04-10
prod|cohort|CRWU|2026-04-13|179||0|78.4|75.2|4.25532|13.8628|0.0328316|0.241248|0.0439139|34|4|0|0||7|6|6|0|6|5|0.184019|0|82.5573|0|5.58377|0.407929|0.669228|0|0|IFFY_AT_FIRST_ZONE|120.4|0.624585|0|7.56982e+06|2025-07-25|2026-04-10
prod|cohort|CWVX|2026-04-13|183||0|33.97|32.66|4.01102|13.9861|0.487232|0.253538|0.520283|31|3|1.08638|0|3.91911|21|13|13|0|13|5|0.371495|0|81.6862|0|5.53451|0.36224|0.603025|0|0|INTO_SUPPLY|147.45|0.221499|0|3.36558e+07|2025-07-21|2026-04-10
