id	birth	birth_name	names	founders	class	class_src	n_gappers	gap_recency	pre_nat	post_nat	pre_rlx	post_rlx	matured	alive	last_live	life_days	rs_birth	f_level	f_subtle	f_vel	f_turn	f_hold	split	mech	rs_death	subtle_death	post_death	diss_why	succ	split_subtle
1	2026-03-19	AI Data Center Power Infrastructure	AI Data Center Power Infrastructure	BE|VRT|PWR|GEV|NXT	grind	open	0		0.326	0.515	0.326	0.515	True	False	2026-07-13	116	94.200	1.000	1.000	0.800	0.000	0.400								
2	2026-03-19	Crypto Asset Recovery	Crypto Asset Recovery	COIN|MSTR|RIOT|MARA|HUT|CLSK|BTBT|CIFR	grind	open	1	14	0.507	0.220	0.507	0.220	True	False	2026-07-07	110	28.400	0.000	0.000	0.000	0.000	0.000								
3	2026-03-19	Crypto Recovery	CLO & Structured Credit Income|Crypto Recovery	CRCL	grind	open	1	16					False	False	2026-04-09	21	99.300	1.000	1.000	1.000	0.000	1.000	dissolved		36.000	0.500		rs<50		dissolved
4	2026-03-19	Downstream Oil Refining & Midstream	Downstream Oil Refining & Midstream	MPC|VLO|FANG	grind	open	0				0.228	0.776	False	False	2026-03-19	0	97.100	1.000	1.000	0.000	0.000	1.000	killed-healthy		97.333	1.000	0.776			killed-healthy
5	2026-03-19	Large-Cap Integrated & Upstream Oil & Gas	Large-Cap Integrated & Upstream Oil & Gas	CVX|HAL|XLE	grind	open	0				0.403	0.811	False	False	2026-03-19	0	96.700	1.000	1.000	0.667	0.000	1.000	killed-healthy		88.967	1.000	0.811			killed-healthy
6	2026-03-19	Large-Cap Upstream Oil & Gas E&P	Large-Cap Upstream Oil & Gas E&P	XOM|EOG|COP	grind	open	0				0.657	0.751	False	False	2026-05-07	49	97.300	1.000	1.000	0.667	0.000	1.000	absorbed	theme_pass1_protect_strip					Pressure Pumping & Completion Services	absorbed
7	2026-03-19	Optical Networking & AI Data Transmission Infrastructure	Optical Networking & AI Data Transmission Infrastructure	LITE|COHR|MRVL|GLW|CIEN	cogap	open	2	1	0.362	0.574	0.362	0.574	False	False	2026-04-06	18	83.500	0.800	0.400	0.200	0.000	0.400	reborn	reborn as lineage 62						reborn
8	2026-03-19	Optical Networking & Photonics Infrastructure	Optical Networking & Photonics Infrastructure	LITE|CIEN|COHR	grind	open	1	1			0.639	0.823	False	False	2026-04-01	13	83.500	1.000	0.667	0.333	0.000	0.667	reborn	reborn as lineage 62						reborn
9	2026-03-19	Pharma & Biotech Large-Cap Turnaround	Pharma & Biotech Large-Cap Turnaround	MRNA|GILD|PFE	grind	open	0				0.185	0.166	False	False	2026-03-19	0	89.100	1.000	1.000	0.667	0.000	0.333	dissolved		86.333	1.000	0.166	coh-fell		dissolved
10	2026-03-19	Physical AI & Robotics	Physical AI & Robotics	TSLA|IRBT|NVEI|BDTX|HYLN|FIG|BFLY|EDIT	grind	open	1	15	0.042	0.142	0.042	0.142	False	False	2026-06-15	88	15.750	0.000	0.125	0.000	0.000	0.125	dissolved		99.100	0.000	0.032	coh-fell		dissolved
11	2026-03-19	Semiconductor Capital Equipment	Semiconductor Burn-In & Final-Test Equipment Pure-Play|Semiconductor Capital Equipment|Semiconductor Probe Card & Front-End Test Equipment	AMAT|LRCX|KLAC	grind	open	0				0.861	0.913	True	False	2026-07-09	112	44.900	0.333	0.333	0.000	0.000	0.333								
12	2026-03-19	Space Economy	Satellite Intelligence & Earth Observation|Space Economy	JOBY|KTOS|RKLB|AJRD|BKSY|SPIR|MNTS|LUNR|ASTS|PL	grind	open	0		0.430	0.381	0.430	0.381	True	False	2026-04-14	26	82.700	0.600	0.200	0.100	0.000	0.200								
13	2026-03-19	U.S. Defense Primes & Aerospace	Satellite Mobile & IoT Connectivity Services|U.S. Defense Primes & Aerospace	NOC|RTX|LMT|GD	grind	open	0		0.737	0.512	0.737	0.512	True	False	2026-05-07	49	92.650	0.750	1.000	0.000	0.000	1.000								
14	2026-03-20	AI Memory & Storage	AI Memory & Storage	LRCX|WDC|MU|SNDK|TSM|STX|MRAM	grind	open	0		0.452	0.535	0.452	0.535	True	False	2026-07-10	112	82.800	0.571	0.429	0.429	0.000	0.143								
15	2026-03-20	Chip Architecture Licensing & IP Royalty Platforms	Chip Architecture Licensing & IP Royalty Platforms	ARM|MRVL	grind	open	1	10			-0.177	0.540	False	False	2026-03-27	7	59.500	0.500	0.000	0.000	0.000	0.000	killed-healthy		91.250	1.000	0.339			killed-healthy
16	2026-03-20	Custom AI Silicon & Chip Architecture Licensing	AI Datacenter Silicon|Custom AI Silicon & Chip Architecture Licensing	MRVL|ARM	grind	open	1	10			-0.177	0.540	True	False	2026-07-30	132	59.500	0.500	0.000	0.000	0.000	0.000								
17	2026-03-20	Cybersecurity Network Edge & SD-WAN	Cybersecurity Network Edge & SD-WAN	FTNT|DDOG	grind	open	0				0.744	0.710	True	False	2026-06-05	77	84.150	1.000	1.000	0.000	0.000	1.000								
18	2026-03-20	Network Security & Zero-Trust Edge	Network Security & Zero-Trust Edge	FTNT|DDOG	grind	open	0				0.744	0.710	True	True	2026-09-04	168	84.150	1.000	1.000	0.000	0.000	1.000								
19	2026-03-20	Satellite & Space Intelligence Data Services	Satellite & Space Intelligence Data Services	BKSY|PL|SPIR	grind	open	1	0			0.427	0.501	False	False	2026-04-10	21	87.100	1.000	0.333	0.333	0.000	0.333	reborn	reborn as lineage 63						reborn
20	2026-03-21	AI-Native Enterprise Software & Agentic Platforms	AI-Native Enterprise Software & Agentic Platforms	BNAI|SVCO	cogap	open	2	5			-0.098	-0.008	False	False	2026-04-17	27	99.350	1.000	1.000	0.500	0.000	1.000	dissolved		96.900	0.500	-0.610	coh-fell		dissolved
21	2026-03-21	Agri-Chemical & Crop Input Distributors	Agri-Chemical & Crop Input Distributors	AGRO|SSL	grind	open	1	15			0.103	0.484	True	False	2026-04-13	23	99.700	1.000	1.000	1.000	0.000	1.000								
22	2026-03-21	Agricultural Commodities & Agri-Business	Agricultural Commodities & Agri-Business	SSL|LYB	grind	open	1	15			0.021	0.792	False	False	2026-06-11	82	99.500	1.000	1.000	0.500	0.000	1.000	absorbed	theme_pass1_protect_strip					Nitrogen Fertilizer & Ammonia Producers	absorbed
23	2026-03-21	Compound Semiconductor & III-V Materials	Compound Semiconductor & III-V Materials	AXTI|SVCO	cogap	open	2	5			0.217	-0.018	False	False	2026-05-14	54	99.600	1.000	1.000	0.000	0.000	1.000	absorbed	theme_pass1_5_absorption					Optical Components & Transceiver Manufacturers	absorbed
24	2026-03-21	Compound Semiconductor & Specialty Photonic Materials	Compound Semiconductor & Specialty Photonic Materials	TSEM|LASR|AXTI	cogap	open	2	14			0.402	0.506	True	False	2026-04-13	23	99.300	1.000	1.000	0.667	0.000	0.667								
25	2026-03-21	Crude Oil Price Momentum ETFs & Pure-Play E&P	Crude Oil Price Momentum ETFs & Pure-Play E&P|LNG Liquefaction Infrastructure & Marine Export Terminals|Offshore Contract Drilling & Deepwater Services|Permian & U.S. Mid-Continent Pure-Play E&P	USO|VET|WDS|DBO|EQNR|GTE|BNO|BATL|ACDC|SM|PTEN	cogap	open	4	1	0.283	0.548	0.283	0.548	False	False	2026-04-28	38	99.500	1.000	1.000	0.545	0.000	1.000	reborn	reborn as lineage 70						reborn
26	2026-03-21	Distributed Solar & Energy Storage Hardware	Distributed & Utility-Scale Energy Storage Systems|Distributed Solar & Energy Storage Hardware	SEDG|AMPX	grind	open	0				-0.069	0.157	False	False	2026-04-28	38	99.400	1.000	1.000	0.500	0.000	0.500	absorbed	theme_pass1_5_absorption					Enterprise Server & AI Infrastructure Hardware	absorbed
27	2026-03-21	Edge CDN & Cloud-Native Developer Platforms	Edge CDN & Cloud-Native Developer Platforms|Edge Cloud & Developer CDN Platforms	FSLY|BNAI|DOCN	grind	open	1	6			0.196	0.181	True	False	2026-07-01	102	99.600	1.000	1.000	0.667	0.000	1.000								
