id	birth	birth_name	class	matured	era	n_members	n_founders	n_ep	n_pre	n_post	n_cov	n_hoc	runway	delivered	share_all	censored	rwo_runway	rwo_delivered	rw40_runway	rw40_delivered	rwa_n_ep	rwa_runway	rwa_delivered	ign_rs	ign_cl	ign_ep	ign_epo	first_leg	lag	cl_max_share	cl_days
1	2026-03-19	AI Data Center Power Infrastructure	grind	True	E0 pre-window before the scan log	8	5	2	0	2	1	1	1.000	0.500	0.250	False	1.000	0.500	1.000	0.571	2	1.000	0.500	2026-02-13		2026-03-27	2026-01-28	RS	23	0.250	23
2	2026-03-19	Crypto Asset Recovery	grind	True	E0 pre-window before the scan log	9	8	1	0	1	1	0	1.000	1.000	0.111	False	0.667	0.667	1.000	1.000	0			2026-04-14		2026-04-14	2026-02-03	EP+RS	-17	0.333	23
3	2026-03-19	Crypto Recovery	grind	False	E0 pre-window before the scan log	2	1	0	0	0	0	0			0.000	False	0.000	0.000			0				2026-04-14		2026-02-25	CL	-17	0.500	23
4	2026-03-19	Downstream Oil Refining & Midstream	grind	False	E0 pre-window before the scan log	3	3	0	0	0	0	0			0.000	False					0			2026-02-06	2026-02-06			CL+RS	28	0.667	23
5	2026-03-19	Large-Cap Integrated & Upstream Oil & Gas	grind	False	E0 pre-window before the scan log	3	3	0	0	0	0	0			0.000	False					0			2026-01-23				RS	38	0.333	23
6	2026-03-19	Large-Cap Upstream Oil & Gas E&P	grind	False	E0 pre-window before the scan log	52	3	2	0	2	0	2	1.000	0.000	0.038	False	0.000	0.000	1.000	0.667	2	1.000	0.000	2026-01-23		2026-03-24	2026-01-22	RS	38	0.038	23
7	2026-03-19	Optical Networking & AI Data Transmission Infrastructure	cogap	False	E0 pre-window before the scan log	11	5	0	0	0	0	0			0.000	False	0.167	0.167	1.000	1.000	0			2026-01-23			2026-01-29	RS	38	0.091	23
8	2026-03-19	Optical Networking & Photonics Infrastructure	grind	False	E0 pre-window before the scan log	17	3	0	0	0	0	0			0.000	False	0.333	0.222	1.000	1.000	0			2026-01-23			2026-01-29	RS	38	0.059	23
9	2026-03-19	Pharma & Biotech Large-Cap Turnaround	grind	False	E0 pre-window before the scan log	3	3	0	0	0	0	0			0.000	False			1.000	1.000	0			2026-01-23				RS	38	0.000	23
10	2026-03-19	Physical AI & Robotics	grind	False	E0 pre-window before the scan log	8	8	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0						2026-02-26	none		0.125	23
11	2026-03-19	Semiconductor Capital Equipment	grind	True	E0 pre-window before the scan log	11	3	2	0	2	1	1	1.000	0.500	0.182	False	1.000	0.500	1.000	0.833	1	1.000	0.000	2026-01-23		2026-03-31	2026-02-11	RS	38	0.091	23
12	2026-03-19	Space Economy	grind	True	E0 pre-window before the scan log	21	10	3	0	3	2	1	1.000	0.667	0.143	False	0.750	0.625	1.000	0.900	1	1.000	0.000	2026-04-06		2026-04-01	2026-02-09	EP	-9	0.238	23
13	2026-03-19	U.S. Defense Primes & Aerospace	grind	True	E0 pre-window before the scan log	24	4	4	0	4	1	3	1.000	0.250	0.167	False	0.583	0.083	1.000	0.500	1	1.000	0.000	2026-04-13		2026-04-13	2026-02-09	EP+RS	-16	0.167	23
14	2026-03-20	AI Memory & Storage	grind	True	E0 pre-window before the scan log	11	7	1	0	1	1	0	1.000	1.000	0.091	False	1.000	0.750	1.000	0.714	0			2026-01-23		2026-04-14	2026-01-30	RS	39	0.091	24
15	2026-03-20	Chip Architecture Licensing & IP Royalty Platforms	grind	False	E0 pre-window before the scan log	2	2	1	0	1	1	0	1.000	1.000	0.500	False	0.500	0.500	1.000	1.000	0			2026-03-19		2026-04-20	2026-03-06	RS	1	0.000	24
16	2026-03-20	Custom AI Silicon & Chip Architecture Licensing	grind	True	E0 pre-window before the scan log	10	2	3	0	3	1	2	1.000	0.333	0.300	False	0.750	0.250	1.000	0.300	0			2026-04-07		2026-04-13	2026-02-10	RS	-11	0.100	24
17	2026-03-20	Cybersecurity Network Edge & SD-WAN	grind	True	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False			1.000	1.000	0			2026-03-06				RS	10	0.000	24
18	2026-03-20	Network Security & Zero-Trust Edge	grind	True	E0 pre-window before the scan log	23	2	0	0	0	0	0			0.000	False			1.000	0.333	0						2026-01-27	none		0.043	24
19	2026-03-20	Satellite & Space Intelligence Data Services	grind	False	E0 pre-window before the scan log	17	3	2	0	2	2	0	1.000	1.000	0.118	False	0.571	0.571	1.000	1.000	0					2026-04-14	2026-02-09	EP	-16	0.294	24
20	2026-03-21	AI-Native Enterprise Software & Agentic Platforms	cogap	False	E0 pre-window before the scan log	2	2	1	0	1	1	0	1.000	1.000	0.500	False	0.000	0.000	1.000	1.000	0					2026-04-14	2026-01-23	EP	-16	0.000	24
21	2026-03-21	Agri-Chemical & Crop Input Distributors	grind	True	E0 pre-window before the scan log	6	2	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0			2026-02-20			2026-01-22	RS	20	0.167	24
22	2026-03-21	Agricultural Commodities & Agri-Business	grind	False	E0 pre-window before the scan log	20	2	1	0	1	1	0	1.000	1.000	0.050	False	0.143	0.143	1.000	0.750	0			2026-02-06		2026-04-13	2026-01-22	RS	29	0.050	24
23	2026-03-21	Compound Semiconductor & III-V Materials	cogap	False	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False	0.000	0.000	1.000	1.000	0						2026-03-02	none		0.000	24
24	2026-03-21	Compound Semiconductor & Specialty Photonic Materials	cogap	True	E0 pre-window before the scan log	26	3	2	0	2	1	1	1.000	0.500	0.077	False	0.300	0.200	1.000	0.923	0			2026-01-30		2026-04-13	2026-01-29	RS	34	0.038	24
25	2026-03-21	Crude Oil Price Momentum ETFs & Pure-Play E&P	cogap	False	E0 pre-window before the scan log	59	11	4	0	4	2	2	1.000	0.500	0.068	False	0.167	0.083	1.000	0.778	3	1.000	0.333	2026-01-23		2026-03-24	2026-01-22	RS	39	0.034	24
26	2026-03-21	Distributed Solar & Energy Storage Hardware	grind	False	E0 pre-window before the scan log	2	2	0	0	0	0	0			0.000	False					0			2026-03-20			2026-02-04	RS	0	0.000	24
