lineage	ticker	class	founder	first_join	ep_class	ep_date	covered	lag
1	AGX	grind	False	2026-04-01	post	2026-03-27	False	6
1	BE	grind	True	2026-03-19	post	2026-04-14	True	17
1	FCEL	grind	False	2026-05-14	none			
1	FPS	grind	False	2026-06-01	none			
1	GEV	grind	True	2026-03-19	none			
1	NXT	grind	True	2026-03-19	none			
1	PWR	grind	True	2026-03-19	none			
1	VRT	grind	True	2026-03-19	none			
2	BTBT	grind	True	2026-03-19	none			
2	CIFR	grind	True	2026-03-19	none			
2	CLSK	grind	True	2026-03-19	post	2026-04-14	True	17
2	COIN	grind	True	2026-03-19	none			
2	HUT	grind	True	2026-03-19	none			
2	MARA	grind	True	2026-03-19	none			
2	MSTR	grind	True	2026-03-19	none			
2	RIOT	grind	True	2026-03-19	none			
2	WULF	grind	False	2026-06-08	none			
3	CRCL	grind	True	2026-03-19	none			
3	XFLT	grind	False	2026-03-23	none			
4	FANG	grind	True	2026-03-19	none			
4	MPC	grind	True	2026-03-19	none			
4	VLO	grind	True	2026-03-19	none			
5	CVX	grind	True	2026-03-19	none			
5	HAL	grind	True	2026-03-19	none			
5	XLE	grind	True	2026-03-19	none			
6	ACDC	grind	False	2026-04-08	none			
6	AESI	grind	False	2026-04-08	none			
6	AMPX	grind	False	2026-04-08	none			
6	ANNA	grind	False	2026-04-08	post	2026-03-24	False	3
6	APA	grind	False	2026-04-08	none			
6	BATL	grind	False	2026-04-08	post	2026-04-02	False	10
6	BNO	grind	False	2026-04-08	none			
6	BW	grind	False	2026-04-08	none			
6	CHRD	grind	False	2026-04-08	none			
6	COP	grind	True	2026-03-19	none			
6	CRGY	grind	False	2026-04-08	none			
6	CVE	grind	False	2026-04-08	none			
6	CVX	grind	False	2026-04-08	none			
6	DBO	grind	False	2026-04-08	none			
6	DCH	grind	False	2026-04-08	none			
6	DELL	grind	False	2026-04-08	none			
6	DOW	grind	False	2026-04-08	none			
6	E	grind	False	2026-04-08	none			
6	EOG	grind	True	2026-03-19	none			
6	EQNR	grind	False	2026-04-08	none			
6	FANG	grind	False	2026-04-08	none			
6	GLNG	grind	False	2026-04-08	none			
6	GTE	grind	False	2026-04-08	none			
6	HAL	grind	False	2026-04-08	none			
6	ICHR	grind	False	2026-04-08	none			
6	LBRT	grind	False	2026-04-08	none			
6	LNG	grind	False	2026-04-08	none			
6	LRCX	grind	False	2026-04-08	none			
6	LYB	grind	False	2026-04-08	none			
6	MPC	grind	False	2026-04-08	none			
6	MTDR	grind	False	2026-04-08	none			
6	OVV	grind	False	2026-04-08	none			
6	OXY	grind	False	2026-04-08	none			
6	PARR	grind	False	2026-04-08	none			
6	PBF	grind	False	2026-04-08	none			
6	PBR	grind	False	2026-04-08	none			
6	PTEN	grind	False	2026-04-08	none			
6	PUMP	grind	False	2026-04-08	none			
6	SEDG	grind	False	2026-04-08	none			
6	SM	grind	False	2026-04-08	none			
6	SOC	grind	False	2026-04-08	none			
6	TALO	grind	False	2026-04-08	none			
6	TEN	grind	False	2026-04-08	none			
6	USO	grind	False	2026-04-08	none			
6	VAL	grind	False	2026-04-08	none			
6	VET	grind	False	2026-04-08	none			
6	VG	grind	False	2026-04-08	none			
6	VIST	grind	False	2026-04-08	none			
6	VLO	grind	False	2026-04-08	none			
6	WDS	grind	False	2026-04-08	none			
6	XLE	grind	False	2026-04-08	none			
6	XOM	grind	True	2026-03-19	none			
7	AAOI	cogap	False	2026-03-24	none			
7	ADTN	cogap	False	2026-03-23	none			
7	AXTI	cogap	False	2026-03-27	none			
7	CIEN	cogap	True	2026-03-19	none			
7	COHR	cogap	True	2026-03-19	none			
7	GLW	cogap	True	2026-03-19	none			
7	LASR	cogap	False	2026-03-27	none			
7	LITE	cogap	True	2026-03-19	none			
7	MRVL	cogap	True	2026-03-19	none			
7	TSEM	cogap	False	2026-03-27	none			
7	VIAV	cogap	False	2026-03-27	none			
8	AAOI	grind	False	2026-04-01	none			
8	ADTN	grind	False	2026-04-01	none			
8	AMD	grind	False	2026-04-01	none			
8	ARM	grind	False	2026-04-01	none			
8	AXTI	grind	False	2026-04-01	none			
8	CIEN	grind	True	2026-03-19	none			
8	COHR	grind	True	2026-03-19	none			
8	GLW	grind	False	2026-03-21	none			
8	LASR	grind	False	2026-04-01	none			
8	LITE	grind	True	2026-03-19	none			
8	MRVL	grind	False	2026-03-21	none			
8	PLAB	grind	False	2026-04-01	none			
8	SNDK	grind	False	2026-04-01	none			
8	SVCO	grind	False	2026-04-01	none			
8	TSEM	grind	False	2026-04-01	none			
8	UNIT	grind	False	2026-04-01	none			
8	VIAV	grind	False	2026-04-01	none			
9	GILD	grind	True	2026-03-19	none			
9	MRNA	grind	True	2026-03-19	none			
9	PFE	grind	True	2026-03-19	none			
10	BDTX	grind	True	2026-03-19	none			
10	BFLY	grind	True	2026-03-19	none			
10	EDIT	grind	True	2026-03-19	none			
