===Q1_TOGGLES===
safeguard|~|account_mode|~|state|~|transition_et|~|updated_et
ep_rt_entry_gap_recheck|~|global|~|on|~|2026-08-01 20:34|~|2026-08-01 20:34
ep_rt_gap_down_authoritative|~|global|~|on|~|2026-08-01 20:00|~|2026-08-01 20:00
ep_rt_sustain_enabled|~|global|~|on|~|2026-08-02 09:53|~|2026-08-02 09:53
(3 rows)
===Q2_SUSTAIN_REJECT===
d_et|~|t_et|~|ticker|~|rt_gap|~|bars_required|~|reason|~|detail_json
2026-08-03|~|08:15:01|~|BOW|~|10.2|~|3|~||~|{"ticker": "BOW", "rt_gap": 10.2, "bars_required": 3, "tick_et": "08:15", "gaps": [9.51, 9.84, 10.2], "minutes": ["08:05", "08:09", "08:14"]}
2026-08-03|~|09:35:03|~|ELOX|~|11.06|~|3|~||~|{"ticker": "ELOX", "rt_gap": 11.06, "bars_required": 3, "tick_et": "09:35", "gaps": [4.65, 3.93, 11.06], "minutes": ["09:30", "09:31", "09:33"]}
2026-08-03|~|09:35:03|~|LIND|~|12.91|~|3|~||~|{"ticker": "LIND", "rt_gap": 12.91, "bars_required": 3, "tick_et": "09:35", "gaps": [9.53, 10.07, 12.91], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-03|~|09:40:08|~|NWL|~|10.18|~|3|~||~|{"ticker": "NWL", "rt_gap": 10.18, "bars_required": 3, "tick_et": "09:40", "gaps": [9.82, 9.73, 9.64], "minutes": ["09:37", "09:38", "09:39"]}
2026-08-03|~|09:45:11|~|MRDN|~|17.83|~|3|~||~|{"ticker": "MRDN", "rt_gap": 17.83, "bars_required": 3, "tick_et": "09:45", "gaps": [9.32, 18.28, 17.83], "minutes": ["09:37", "09:42", "09:43"]}
2026-08-03|~|09:50:21|~|DMRC|~|10.52|~|3|~||~|{"ticker": "DMRC", "rt_gap": 10.52, "bars_required": 3, "tick_et": "09:50", "gaps": [9.45, 12.2, 10.52], "minutes": ["09:46", "09:47", "09:49"]}
2026-08-03|~|09:55:20|~|CRWV|~|10.38|~|3|~||~|{"ticker": "CRWV", "rt_gap": 10.38, "bars_required": 3, "tick_et": "09:55", "gaps": [7.66, 9.11, 10.0], "minutes": ["09:52", "09:53", "09:54"]}
2026-08-04|~|07:00:02|~|AHCO|~|13.57|~|3|~||~|{"ticker": "AHCO", "rt_gap": 13.57, "bars_required": 3, "tick_et": "07:00", "gaps": [7.11, 10.8, 13.57], "minutes": ["06:54", "06:55", "06:56"]}
2026-08-04|~|08:10:01|~|XMTR|~|10.33|~|3|~||~|{"ticker": "XMTR", "rt_gap": 10.33, "bars_required": 3, "tick_et": "08:10", "gaps": [10.32, 9.18, 10.33], "minutes": ["08:05", "08:07", "08:09"]}
2026-08-04|~|08:25:01|~|W|~|14.07|~|3|~||~|{"ticker": "W", "rt_gap": 14.07, "bars_required": 3, "tick_et": "08:25", "gaps": [3.01, 8.34, 14.07], "minutes": ["08:22", "08:23", "08:24"]}
2026-08-04|~|08:30:01|~|LUNR|~|10.23|~|3|~||~|{"ticker": "LUNR", "rt_gap": 10.23, "bars_required": 3, "tick_et": "08:30", "gaps": [3.8, 3.81, 10.23], "minutes": ["08:27", "08:28", "08:29"]}
2026-08-04|~|09:35:03|~|LDOS|~|10.48|~|3|~||~|{"ticker": "LDOS", "rt_gap": 10.48, "bars_required": 3, "tick_et": "09:35", "gaps": [7.07, 8.06, 10.48], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-04|~|09:35:03|~|ARVN|~|13.21|~|3|~||~|{"ticker": "ARVN", "rt_gap": 13.21, "bars_required": 3, "tick_et": "09:35", "gaps": [9.31, 10.96, 13.21], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-04|~|09:35:03|~|BR|~|10.15|~|3|~||~|{"ticker": "BR", "rt_gap": 10.15, "bars_required": 3, "tick_et": "09:35", "gaps": [7.99, 8.55, 10.15], "minutes": ["09:30", "09:33", "09:34"]}
2026-08-04|~|09:45:14|~|SDOT|~|13.32|~|3|~||~|{"ticker": "SDOT", "rt_gap": 13.32, "bars_required": 3, "tick_et": "09:45", "gaps": [9.4, 8.25, 13.25], "minutes": ["09:42", "09:43", "09:44"]}
2026-08-05|~|07:10:01|~|KMT|~|10.37|~|3|~||~|{"ticker": "KMT", "rt_gap": 10.37, "bars_required": 3, "tick_et": "07:10", "gaps": [8.46, 10.93, 10.37], "minutes": ["07:00", "07:01", "07:07"]}
2026-08-05|~|09:10:01|~|IMC|~|12.53|~|3|~||~|{"ticker": "IMC", "rt_gap": 12.53, "bars_required": 3, "tick_et": "09:10", "gaps": [13.38, 9.37, 12.53], "minutes": ["09:00", "09:07", "09:09"]}
2026-08-05|~|09:35:02|~|BVS|~|11.18|~|3|~||~|{"ticker": "BVS", "rt_gap": 11.18, "bars_required": 3, "tick_et": "09:35", "gaps": [7.15, 6.18, 11.03], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-05|~|09:35:02|~|WYNN|~|11.02|~|3|~||~|{"ticker": "WYNN", "rt_gap": 11.02, "bars_required": 3, "tick_et": "09:35", "gaps": [9.22, 9.79, 11.13], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-05|~|09:35:02|~|HGTY|~|11.77|~|3|~||~|{"ticker": "HGTY", "rt_gap": 11.77, "bars_required": 3, "tick_et": "09:35", "gaps": [7.42, 8.96, 11.77], "minutes": ["09:29", "09:33", "09:34"]}
2026-08-05|~|09:40:02|~|XPEL|~|10.54|~|3|~||~|{"ticker": "XPEL", "rt_gap": 10.54, "bars_required": 3, "tick_et": "09:40", "gaps": [7.93, 6.85, 10.54], "minutes": ["09:30", "09:31", "09:38"]}
2026-08-05|~|09:40:03|~|ZETA|~|10.24|~|3|~||~|{"ticker": "ZETA", "rt_gap": 10.24, "bars_required": 3, "tick_et": "09:40", "gaps": [7.79, 8.37, 10.49], "minutes": ["09:37", "09:38", "09:39"]}
2026-08-06|~|07:05:01|~|INSM|~|10.58|~|3|~||~|{"ticker": "INSM", "rt_gap": 10.58, "bars_required": 3, "tick_et": "07:05", "gaps": [6.68, 8.38, 10.58], "minutes": ["07:01", "07:02", "07:04"]}
2026-08-06|~|07:45:01|~|PN|~|11.03|~|3|~||~|{"ticker": "PN", "rt_gap": 11.03, "bars_required": 3, "tick_et": "07:45", "gaps": [5.22, 8.85, 11.03], "minutes": ["07:42", "07:43", "07:44"]}
2026-08-06|~|08:10:01|~|DCTH|~|10.85|~|3|~||~|{"ticker": "DCTH", "rt_gap": 10.85, "bars_required": 3, "tick_et": "08:10", "gaps": [7.05, 9.26, 10.85], "minutes": ["08:06", "08:07", "08:09"]}
2026-08-06|~|09:30:04|~|CACI|~|10.26|~|3|~||~|{"ticker": "CACI", "rt_gap": 10.26, "bars_required": 3, "tick_et": "09:30", "gaps": [6.17, 6.1, 10.26], "minutes": ["09:25", "09:28", "09:29"]}
2026-08-06|~|09:35:05|~|AVNT|~|10.8|~|3|~||~|{"ticker": "AVNT", "rt_gap": 10.8, "bars_required": 3, "tick_et": "09:35", "gaps": [9.8, 10.76, 10.8], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-06|~|09:35:05|~|CDRE|~|16.02|~|3|~||~|{"ticker": "CDRE", "rt_gap": 16.02, "bars_required": 3, "tick_et": "09:35", "gaps": [8.36, 8.38, 16.02], "minutes": ["09:30", "09:31", "09:34"]}
2026-08-06|~|09:40:06|~|GCT|~|13.22|~|3|~||~|{"ticker": "GCT", "rt_gap": 13.22, "bars_required": 3, "tick_et": "09:40", "gaps": [9.21, 10.43, 13.22], "minutes": ["09:37", "09:38", "09:39"]}
2026-08-06|~|09:40:06|~|LQDT|~|11.31|~|3|~||~|{"ticker": "LQDT", "rt_gap": 11.31, "bars_required": 3, "tick_et": "09:40", "gaps": [8.42, 8.95, 11.31], "minutes": ["09:30", "09:33", "09:36"]}
2026-08-06|~|09:40:06|~|MATV|~|12.33|~|3|~||~|{"ticker": "MATV", "rt_gap": 12.33, "bars_required": 3, "tick_et": "09:40", "gaps": [6.06, 5.54, 12.33], "minutes": ["09:37", "09:38", "09:39"]}
2026-08-06|~|09:40:07|~|PKOH|~|10.24|~|3|~||~|{"ticker": "PKOH", "rt_gap": 10.24, "bars_required": 3, "tick_et": "09:40", "gaps": [5.62, 9.3, 10.24], "minutes": ["09:32", "09:34", "09:39"]}
2026-08-06|~|09:45:07|~|FTDR|~|10.68|~|3|~||~|{"ticker": "FTDR", "rt_gap": 10.68, "bars_required": 3, "tick_et": "09:45", "gaps": [9.87, 10.79, 10.68], "minutes": ["09:42", "09:43", "09:44"]}
2026-08-06|~|09:45:08|~|OESX|~|11.58|~|3|~||~|{"ticker": "OESX", "rt_gap": 11.58, "bars_required": 3, "tick_et": "09:45", "gaps": [11.5, 7.76, 11.58], "minutes": ["09:42", "09:43", "09:44"]}
2026-08-06|~|09:50:06|~|ZLAB|~|11.02|~|3|~||~|{"ticker": "ZLAB", "rt_gap": 11.02, "bars_required": 3, "tick_et": "09:50", "gaps": [9.99, 10.89, 11.49], "minutes": ["09:47", "09:48", "09:49"]}
2026-08-06|~|09:55:06|~|AMIX|~|14.34|~|3|~||~|{"ticker": "AMIX", "rt_gap": 14.34, "bars_required": 3, "tick_et": "09:55", "gaps": [9.92, 13.64, 14.46], "minutes": ["09:52", "09:53", "09:54"]}
2026-08-07|~|08:05:01|~|PHR|~|10.25|~|3|~||~|{"ticker": "PHR", "rt_gap": 10.25, "bars_required": 3, "tick_et": "08:05", "gaps": [8.14, 8.76, 10.25], "minutes": ["08:00", "08:03", "08:04"]}
2026-08-07|~|08:25:01|~|QMLS|~|10.8|~|3|~||~|{"ticker": "QMLS", "rt_gap": 10.8, "bars_required": 3, "tick_et": "08:25", "gaps": [9.3, 6.98, 10.8], "minutes": ["08:22", "08:23", "08:24"]}
2026-08-07|~|09:31:02|~|RDW|~|10.82|~|3|~||~|{"ticker": "RDW", "rt_gap": 10.82, "bars_required": 3, "tick_et": "09:31", "gaps": [4.23, 4.23, 5.58], "minutes": ["09:27", "09:28", "09:29"]}
2026-08-07|~|09:31:02|~|ARCT|~|12.66|~|3|~||~|{"ticker": "ARCT", "rt_gap": 12.66, "bars_required": 3, "tick_et": "09:31", "gaps": [3.78, 4.11, 5.26], "minutes": ["09:24", "09:28", "09:29"]}
2026-08-07|~|09:35:02|~|YELP|~|15.26|~|3|~||~|{"ticker": "YELP", "rt_gap": 15.26, "bars_required": 3, "tick_et": "09:35", "gaps": [9.11, 15.24, 15.26], "minutes": ["09:29", "09:33", "09:34"]}
2026-08-07|~|09:35:03|~|EGY|~|10.85|~|3|~||~|{"ticker": "EGY", "rt_gap": 10.85, "bars_required": 3, "tick_et": "09:35", "gaps": [9.3, 9.92, 10.85], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-07|~|09:35:03|~|CENX|~|10.99|~|3|~||~|{"ticker": "CENX", "rt_gap": 10.99, "bars_required": 3, "tick_et": "09:35", "gaps": [9.88, 11.14, 11.51], "minutes": ["09:32", "09:33", "09:34"]}
2026-08-07|~|09:40:04|~|GRDN|~|12.67|~|3|~||~|{"ticker": "GRDN", "rt_gap": 12.67, "bars_required": 3, "tick_et": "09:40", "gaps": [6.57, 11.58, 12.67], "minutes": ["09:34", "09:35", "09:39"]}
2026-08-07|~|09:40:05|~|AIRJ|~|11.06|~|3|~||~|{"ticker": "AIRJ", "rt_gap": 11.06, "bars_required": 3, "tick_et": "09:40", "gaps": [8.86, 10.02, 11.06], "minutes": ["09:37", "09:38", "09:39"]}
2026-08-07|~|09:40:05|~|HBB|~|13.96|~|3|~||~|{"ticker": "HBB", "rt_gap": 13.96, "bars_required": 3, "tick_et": "09:40", "gaps": [21.3, 9.11, 13.96], "minutes": ["09:34", "09:37", "09:38"]}
2026-08-07|~|09:45:06|~|LITE|~|10.61|~|3|~||~|{"ticker": "LITE", "rt_gap": 10.61, "bars_required": 3, "tick_et": "09:45", "gaps": [9.19, 10.32, 10.61], "minutes": ["09:42", "09:43", "09:44"]}
2026-08-07|~|09:45:07|~|ECOR|~|11.64|~|3|~||~|{"ticker": "ECOR", "rt_gap": 11.64, "bars_required": 3, "tick_et": "09:45", "gaps": [4.33, 8.66, 11.64], "minutes": ["09:38", "09:40", "09:41"]}
2026-08-07|~|09:45:07|~|SITM|~|10.54|~|3|~||~|{"ticker": "SITM", "rt_gap": 10.54, "bars_required": 3, "tick_et": "09:45", "gaps": [8.71, 9.67, 10.68], "minutes": ["09:42", "09:43", "09:44"]}
