Crude & Product Tanker Shipping|2026-06-22|87.1|6|6|81.6|6|27.2
European Bank Stocks|2026-06-22|0.0|6|6|78.1|6|25.9
Casual Dining Restaurant Turnaround|2026-06-25|94.8|2|2|94.9|2|11.4
Peptide & Hormone Therapies for Metabolic & Endocrine Disorders|2026-06-25|92.2|4|4|91.3|4|31.3
Quantum Computing & Quantum-Safe Networking|2026-06-25|97.8|2|2|97.9|2|49.2
Senior Living & Housing Operators|2026-06-25|89.0|2|2|89.0|2|62.3
U.S. Passenger Airlines|2026-06-25|0.0|6|6|87.8|6|21.4
AI Cloud GPU & Datacenter Colocation Platforms|2026-06-26|98.9|2|2|99.0|2|0.1
Commercial Real Estate Brokerage & Advisory Services|2026-06-26|0.0|4|4|37.4|4|-12.1
Construction Aggregates & Building Materials|2026-06-26|0.0|3|3|47.7|3|-8.7
Golf Equipment & Apparel|2026-06-26|91.2|2|2|91.2|2|3.4
Insurance Brokerage & Distribution Services|2026-06-26|0.0|4|4|38.9|4|-2.0
Life Insurance & Annuity Providers|2026-06-26|0.0|5|5|56.7|5|-18.2
Midstream Energy Infrastructure & Pipeline Operators|2026-06-26|0.0|11|11|54.1|11|1.6
Multifamily Apartment REITs|2026-06-26|0.0|4|4|56.0|4|4.5
Private Mortgage Insurance|2026-06-26|0.0|4|4|63.1|4|21.6
Property & Casualty Insurance Underwriters|2026-06-26|92.5|14|14|65.4|14|6.9
Clinical-Stage Autoimmune & Inflammatory Disease Biologics|2026-06-28|87.5|6|6|87.5|6|14.2
Coal Mining & Export (Metallurgical & Thermal)|2026-06-28|8.4|3|3|8.4|3|-8.9
Defense Drones & Unmanned Aerial Systems|2026-06-28|12.3|5|5|12.3|5|-5.3
Large Defense Contractors & Aerospace Primes|2026-06-28|24.0|5|5|24.0|5|-1.5
Medical Devices & Surgical Equipment|2026-06-28|34.4|4|4|34.4|4|10.0
Nucleic Acid Therapeutics & Gene Synthesis Platforms|2026-06-28|95.8|3|3|95.8|3|6.4
Protein Degradation & Targeted Molecular Therapeutics Re-rating|2026-06-28|91.5|4|4|91.5|4|15.3
